ID,jobDetails,jobTitle,url
1001,"FamilyAid Boston, the citys largest human service agency solely focused on ending childhood and family homelessness, is seeking a Bilingual (Spanish) Licensed/MSW Social Worker to stabilize families experiencing homelessness.

Reporting to the Prevention and Diversion Program Manager, the Bilingual Social Worker will support parents and children with housing stability in health care and educational and social service settings. The Social Worker will provide families with comprehensive case management including pre-tenancy and tenancy preservation support services through coordinating both services and financial assistance. The worker will ensure 100% housing retention and long-term stability for participating children and their parents.

The successful candidate will have a MSW or social work license (LPC, LMHC, LCSW, LISCSW), be fluent in Spanish, more than three years of successful experience in social services, including work in clinical settings, with family and crisis interventions, with children experiencing significant emotional/behavioral challenges, and with housing navigation. The successful candidate will demonstrate success in applying evidence-based practices including trauma-informed care, critical time intervention and motivational interviewing. Experience in homelessness prevention and diversion programming is desired. A valid drivers license and the ability to operate a vehicle safely is required.

FamilyAid Boston is dynamic, friendly, and diverse where results, professional growth and work/life balance are valued. We offer competitive salaries, contribute to employees health, dental and retirement plans, and provide generous paid time off. The agency is committed to a policy of equal employment opportunity without regard to race, color, national origin, religion, disability, gender, gender identity, sexual orientation, or age.

Interested applicants should send a cover letter and resume. Applications will be reviewed on a rolling basis.

Job Type: Full-time

Work Location:

Multiple locations

Benefits:

Health insuranceDental insuranceVision insuranceRetirement planPaid time offParental leaveProfessional development assistance

This Company Describes Its Culture as:

Detail-oriented -- quality and precision-focusedOutcome-oriented -- results-focused with strong performance culturePeople-oriented -- supportive and fairness-focusedTeam-oriented -- cooperative and collaborative

Schedule:

Monday to Friday8 hour shift

Work Remotely:

Temporarily due to COVID-19",Bilingual (Spanish) Licensed/MSW Social Worker,"https://www.glassdoor.com/job-listing/bilingual-spanish-licensed-msw-social-worker-familyaid-boston-JV_IC1154595_KO0,44_KE45,61.htm?jl=3560736539"
1002,"Summary

 This position is in the Region 1, Mission Support Division, Grants Management Branch. If selected, you must work at the location stated in this announcement. About EPA Region 1: EPA Region 1 (New England)Learn more about this agency

Responsibilities

 You will:

- Serve as a technical and programmatic liaison in providing assistance, training, and cross-divisional support to Region 1 Grant Project Officers;

- Design and create regional and/or Division-specific Standard Operating Procedures (SOPs) for key aspects of Project Officer Grants management;

- Conduct assessment of grants management challenges encountered by Region 1 tribal grantees and identify opportunities to provide training, tools, and technical assistance;

- Coordinate with internal stakeholders and work with the Region’s IT Branch to develop a sustainable web-based system for managing grants information;

- Manage special projects and lead ad hoc teams.

When entering a Federal job at a grade level lower than the highest promotion potential level, you may be promoted to more complex duties and work more independently as your career progresses.

 




 Supervisory statusNo

 



 Promotion Potential13
 
 


 
Job family (Series)0343 Management And Program Analysis




 Requirements

 
Help

 Help


 Requirements

  Conditions of Employment




 If you are selected, a pre-employment background check is required.
You must submit a resume and required documents--see How to Apply section.
This is a temporary position (see Other Information on assignment limits).

This position is designated as Moderate Risk and requires a background investigation. Unless an appropriate background investigation is already on record with the Office of Personnel Management, you must undergo a background investigation.

You must meet time in grade requirements no later than 30 calendar days after the closing date of this announcement.

 Qualifications

 You do not need a degree to qualify for this position.

We are looking for at least one year of specialized experience related to this position as described below:

To qualify for the GS-12 level, you need to have at least one year of full-time experience equivalent to the GS-11 level defined as developing and applying analytical approaches, methodology, concepts and techniques to plan and carry out studies/projects to assist the organization in program planning, measurement, and/or progress evaluation; and making presentations to various audiences.

To qualify for the GS-13 level, you need to have at least one year of full-time experience equivalent to the GS-12 level defined as designing and conducting comprehensive management studies to identify and propose solutions to complex or controversial management problems with far-reaching scope or impact to a broad range of program operations; and assisting with educational outreach and/or training in a professional setting.

Your answers to the online assessment will be used to evaluate your competencies in the following areas: 1) Knowledge of policies, regulations, and fiscal procedures relating to federal grants management; 2) Ability provide training to various audiences; 3) Skill in project management; 4) Skill in written communication; 5) Skill in performing quantitative and qualitative analyses; 6) Ability to coordinate projects across multiple organizations; 7) Skill in planning, organizing, and/or directing teams; 8) Skill in oral communication.

Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional, philanthropic, religious, spiritual, community, student, social). Volunteer work helps build critical competencies, knowledge, and skills and can provide valuable training and experience that translates directly to paid employment. You will receive credit for all qualifying experience, including volunteer experience.

If you have part-time work experience, read this: EPA Announcement Policies and Procedures.
 

 
Education

 
Additional information

 Are you a Displaced Federal Employee? If so, please read the Required Documents section and visit the EPA website for additional information: EPA Announcement Policies and Procedures

Position has portable work and selectee may be authorized to telework after meeting eligibility requirements if approved by the supervisor/manager.

If you are selected, travel, transportation, and relocation expenses will not be paid by EPA. Any travel, transportation, and relocation expenses associated with reporting to work in this position will be your responsibility.

If you are selected, you will serve in either a temporary promotion or a detail.

If this position is at a higher grade than your current grade, the assignment will be a temporary promotion which will be processed for a period not to exceed one year. It may be extended up to four additional years without further competition, for a total of five years.

If you are already at the same grade as this position, your assignment will be a detail which will be processed for a period not to exceed 120 days, and may be extended in 120 day increments. While on the detail, your salary will not change.

You may be returned at any time to the position from which you were temporarily promoted or detailed, or to a different position of equivalent position and pay.

This position is in the bargaining unit.Read more


 How You Will Be Evaluated

 You will be evaluated for this job based on how well you meet the qualifications above.

We will review your resume and required documents to ensure you meet the basic qualification requirements. Your resume must address the knowledge, skills, and abilities listed in the Qualifications section. If you meet basic qualification requirements, your application will be further evaluated based on your answers to the online assessment. Your responses to the online assessment will be used to measure the degree to which your background matches the requirements for the position and an applicable score assigned.

We will compare your resume and supporting documentation to your responses on the assessment questionnaire. If you rate yourself higher than is supported by your application materials, your responses may be adjusted and/or you may be excluded from consideration for this job. We will evaluate your qualifications and eligibility and notify you if you meet minimum qualification requirements. If you are referred for consideration, you may be subject to additional assessments.

NOTE: We do not require a separate statement responding to the competencies, also referred to as Knowledge, Skills, and Abilities (KSAs). However, your resume should clearly show possession of these competencies.To preview questions please click here.

Read more

 
Background checks and security clearance

 

Security clearanceNot Required

 
Drug test requiredNo
 
 
 
 




 Required Documents

 
Help

 Help


 Required Documents

 Documents to be submitted online:

NOTE: You should ensure your social security number, date of birth, and any other personal information are redacted.



- Resume clearly stating your experience related to this position as described in the Duties section and Qualifications section. In describing your experience, you need to be clear and specific. We may not make assumptions regarding your experience.
- Responses to the online assessment questionnaire (you must complete this online - it is not a document you need to upload).
- Displaced Federal employees under CTAP: copy of your most recent performance appraisal, proof of eligibility, and your most current SF-50 noting position, grade level, tenure, and duty station.
- Notification(s) of Personnel Action (SF-50) - You are required to submit SF-50(s) that includes Position Title, Grade or Level, and Duty Station. The SF-50(s) must prove you are eligible to apply for the position and have met time-in grade:


• ELIGIBILITY - You must provide SF-50(s) demonstrating that you meet the criteria in the Clarification from the Agency section at the top right of this announcement. (The most common eligibility requirements are Permanent employees [Block 24/Tenure on SF-50], Competitive Status [Block 24/Tenure and Block 34/Position Occupied on SF-50], In the Office of [Block 22/Name and Location of Position’s Organization on the SF-50] and In the Commuting Area [Block 39/Duty Station on the SF-50].)

• TIME-IN-GRADE - If you are applying for a higher grade, you must provide SF-50(s) demonstrating you have completed a minimum of 52 weeks in a position at the next lower grade. The next lower grade is identified in the Qualifications section of this announcement. (Some examples of SF-50s that can prove you’ve met time-in-grade include promotions, within-grade increases, and SF-50s dated a year apart within the same grade/job.)



- Performance appraisal – You are required to submit your most recent completed annual performance appraisal, dated within the last 18 months (if it is not dated within the last 18 months, or you have not received a performance appraisal, you must upload a signed/dated explanation why). NOTE: You only need to upload the page that shows the overall rating and signature, not the entire document. NOTE DURING COVID-19 WORK FLEXIBILITIES: If your hard copy performance appraisal is not available due to current telework requirements/recommendations, you must check your eOPF. If you are unable to access your eOPF, contact the HR Specialist listed in this announcement for assistance. If your performance appraisal document is not in your eOPF, you must upload a signed/dated explanation clarifying why the documentation is not available due to telework.


If you want to know more about submitting documentation to our office, visit EPA's website: EPA Announcement Policies and Procedures.



 If you are relying on your education to meet qualification requirements:Education must be accredited by an accrediting institution recognized by the U.S. Department of Education in order for it to be credited towards qualifications. Therefore, provide only the attendance and/or degrees from

 schools accredited by accrediting institutions recognized by the U.S. Department of Education.

Failure to provide all of the required information as stated in this vacancy announcement may result in an ineligible rating or may affect the overall rating.
 
 




 Benefits

 
Help

 Help


 Benefits

 A career with the U.S. Government provides employees with a comprehensive benefits package. As a federal employee, you and your family will have access to a range of benefits that are designed to make your federal career very rewarding. Learn more about federal benefits.

Benefits will not change for current permanent EPA employees.

Review our benefits
Eligibility for benefits depends on the type of position you hold and whether your position is full-time, part-time, or intermittent. Contact the hiring agency for more information on the specific benefits offered.
 
 




 How to Apply

 
Help

 Help


 How to Apply

 You are strongly encouraged to read the entire announcement before you submit your application for this position.",Program Analyst,"https://www.glassdoor.com/job-listing/program-analyst-environmental-protection-agency-JV_IC1154532_KO0,15_KE16,47.htm?jl=3560716276"
1003,"COVID -19 Social Compliance Officer - Military Experience

About Us: 

Metro One is the nation’s premier Loss Prevention and Security Organization, with more than 100 National Clients and 3,000 security personnel. Our employees are largely security officers, unarmed and armed, concierge officers, special event security, and trained and licensed personnel who work in retail, logistics, corporate, education and other industries and settings. Importantly, we are a Living Wage Employer, which elevated our wage and bill levels, and demands that we deliver.

Social Compliance Officer Summary: 

Conducts access control assessments of employee, visitor and or customer at entry points in work environments to determine if compliance, life safety and health requirements are being met. Has familiarity with, security controls, life safety, health screening concepts, customer service and social distancing practices, and procedures. Performs a variety of tasks related to access control screening, health screening, visitor/vendor access and life safety inspections. Works under general supervision; typically reports to a supervisor or manager. Provide assistance to customers, employees and visitors in a courteous and professional manner.

Social Compliance Officer Qualifications:

Must submit to any State-required training or other qualifications for licensingMust have CPR/AED/FA certificationType and Length of Specific Experience RequiredHave one or more of the followingMilitary Service in the active duty military, military reserve or National GuardRetired Law EnforcementService in auxiliary police or cadetsHealthcare experienceMeaningful and verifiable work historySecurity: Minimum of three year verifiable and successful security experienceWhile not required, one or more of the following qualifications are a plus!Prior security experience in a healthcare environmentSix (6) months or more experience involving direct customer interactionDe-Escalation SkillsProficient computer skills including Microsoft OfficeEffective oral and written communication skillsActive listening skillsAbility to assess and evaluate situations effectivelyAbility to identify critical issues quickly and accuratelyAttention to detailMust be willing to participate in the Company’s pre-employment screening process and continuously meet any applicable state, county and municipal requirements.

Social Compliance Officer Pay & Benefits:

$23-$25 per hourHealth, Dental, Vision OfferedOpportunity for GrowthCompany paid uniforms

Social Compliance Officer Responsibilities:

Conduct temperature screening following client’s site access procedureAssist in following CDC Guidelines of Social DistancingUtilize antiseptic material to wipe down work services and high volume touch points.Conduct Safety Checks - Ability to follow established safety policy and procedures and identifies and corrects conditions that affect safety in the workplace.Social Compliance Officers will be provided with the required personal protective equipment to conduct temperature screening and training on the screening process; experience in healthcare settings is helpful but not required.Follow all requirements related to personal protective equipment, cleaning and distancingAccess Control Monitoring as needed.Enforcing occupancy restrictions and guidelines as neededMaintaining social distancing as neededConduct Temperature Screening according to client policies and proceduresReport/communicate temperature results as needed and or requiredEscalation of issues and or incidents to supervisor/client managementMaintain required certifications, licensing and training to achieve professional competency as appropriate for the positionComplete required shift logs and reports; compliance with site post orders and client policies and proceduresWatch for irregular or unusual conditions that may create security concerns or safety hazardsSound alarms or call Fire Department, Emergency Medical Services, and Police Department in case of fire, medical emergency or presence of unauthorized personsProvide assistance to customers, employees and visitors in a courteous and professional mannerOther duties and responsibilities may be assigned.

Job Type: Full-time

Salary: $23.00 to $25.00 /hour

Experience:

Military: 3 years (Preferred)Security: 3 years (Preferred)

Location:

Boston, MA (Preferred)

License:

Security License (If Applicable) (Preferred)

Work Location:

Multiple locations

Benefits:

Health insuranceDental insuranceVision insurance

Schedule:

Other",COVID-19 Social Compliance Officer - Military Experience,"https://www.glassdoor.com/job-listing/covid-19-social-compliance-officer-military-experience-metro-one-loss-prevention-JV_IC1154532_KO0,54_KE55,80.htm?jl=3560715118"
1004,"If you like working early mornings, being part of a team and take pride in your work and have an attention to detail and accuracy, please consider working at Boston Organics! You will be picking orders of organic fruits, vegetables and groceries for households and office breakrooms throughout Boston.Daily corona virus hardship pay and sharing of customer tips will be part of the compensation.SCHEDULEThe position will be approximately 20 hours per week. Hours are 6:00am to 11:00am, Tuesday through Friday with possible Monday hours.WAREHOUSE RESPONSIBILITIESPicking and packing orders according to order tags.Meeting set goals around accuracy, quality and orders picked per hour.Prepping produce, according to needs for the following day.Loading, unloading, and transferring merchandise to designated areas.Cleaning warehouse daily; maintaining a neat and orderly workplace at all times to include moving pallets, sweeping and removing/disposing of debris; composting and/or recycling whenever possible.Sorting produce and paying special attention to quality.Sanitizing delivery binsBreaking down and recycling boxes as they are emptied.Loading prepared delivery orders into vans at loading dock, outside building.Aiding in preparations for the next day. i.e washing plastic delivery boxes, weighing produce, etc.Performing other related duties as assignedSKILLS/QUALITIESPunctuality.AccuracySense of urgency.Verbal communication skills. Must be comfortable interacting with co-workers and customers.Self-motivated.Able to lift and move 50+ lb boxes.Pallet jack operation.Repetitive lifting.Attention to detail (ability to spot blemished items).Ability to work independently as well as in a team environment.Math Aptitude.Reading Skills.EXPERIENCE / TRAININGFood industry experience, knowledge of produce and interest in organics desirable but not mandatory. Warehouse experience also desirableEDUCATIONHigh School Diploma or GED.LOCATIONCharlestown, MAJob Type: Part-timeSalary: $15.00 /hourExperience:pallet jack: 1 year (Preferred)order picking: 1 year (Preferred)stocking: 1 year (Preferred)warehouse: 1 year (Preferred)Additional Compensation:TipsBonusesStore DiscountsOther formsWork Location:One locationBenefits:Paid time offOtherHours per week:20-29Typical start time:6AMTypical end time:11AMWarehouse Skills:PackagingPallet jackThis Job Is:A job for which military experienced candidates are encouraged to applyOpen to applicants who do not have a high school diploma/GEDA good job for someone just entering the workforce or returning to the workforce with limited experience and educationSchedule:Monday to FridayNo weekendsDay shiftOtherCompany's website:www.bostonorganics.comWork Remotely:No",GeoCoordinates,"https://www.glassdoor.com/job-listing/part-time-warehouse-worker-boston-organics-JV_IC1154532_KO0,26_KE27,42.htm?jl=3560714989"
1005,"Do you have a clean driving record and enjoy navigating the streets of Boston? Do you love organic fruit and vegetables? Do you want to help build a healthy food system? If you answered yes to these questions, we have just the job for you!We are seeking a positive, energetic, team player. The individual will be hired as a delivery driver with some warehouse responsibilities. A driver's license and clean driving record are required.You will drive our vehicles that are fully insured. You will earn paid time off. This position has the potential to become full-time.Corona virus hardship daily bonus and customer pooled tips are in addition to hourly wage.SCHEDULEThe position will be approximately 24-32 hours per week. Hours are 11:00am to 7:00pm, Tuesday through Friday with potential Monday warehouse work if interested.GENERAL DRIVING RESPONSIBILITIESLoad vans and deliver orders to appropriate destination in a timely manner.Transport deliveries according to manifest safely and responsibly.Read route sheet and update information to maintain accuracy.Add perishables to orders throughout the day according to manifest.Exercise good judgment and attention to detail when delivery problems arise. Contact office for additional assistance, if needed.Update daily route statistics including start and end times, mileage and return of plastic boxes.Report vehicle maintenance issues.Greet customers, building staff and general public in a professional and courteous manner. Answer basic customer service inquiries.Generate predetermined number of referrals.Maintain a professional manner and appearance.Performing other related duties as assignedSKILLS/QUALITIESPunctuality.AccuracySense of urgency.Verbal communication skills. Must be comfortable interacting with co-workers and customers.Self-motivated.Able to lift and move 50+ lb boxes.Repetitive lifting.Attention to detail.Ability to work independently as well as in a team environment.Math Aptitude.Reading Skills.EXPERIENCE / TRAININGDriving knowledge of Metro Boston streets preferred. Prior city delivery driving experience highly desirable. NO CDL required. Only applicants with clean driving records will be considered!Food industry experience, knowledge of produce and interest in organics desirable but not mandatory.EDUCATIONHigh School Diploma or GED.LOCATIONCharlestown, MAAbout Boston Organics: Since 2002, Boston Organics has been delivering fresh organic produce and groceries to households and office break rooms throughout the greater Boston area.We've been a Certified B Corporation since 2013 and are committed to using business to help solve social and environmental issues by building a healthy food system.At Boston Organics, we value a positive attitude and teamwork; treating customers, colleagues and vendors with respect, providing excellent service; and delivering fresh produce of the highest quality.Job Type: Part-timeSalary: $16.00 /hourExperience:driving: 4 years (Required)warehouse: 1 year (Preferred)commercial driving: 1 year (Preferred)Additional Compensation:TipsBonusesStore DiscountsOther formsWork Location:One locationOn the roadBenefits:Paid time offOtherTrucking payment:HourlyHours per week:20-2930-39Typical start time:11AMTypical end time:6PMDelivery Location Type:CommercialResidentialVehicle Provided:YesThis Job Is:A job for which military experienced candidates are encouraged to applyOpen to applicants who do not have a college diplomaSchedule:Monday to FridayNo weekendsCompany's website:www.bostonorganics.comBenefit Conditions:Waiting period may applyWork Remotely:No",GeoCoordinates,"https://www.glassdoor.com/job-listing/delivery-driver-boston-organics-JV_IC1154549_KO0,15_KE16,31.htm?jl=3560714952"
1006,"Organizational Overview

About Fresh is a Boston area nonprofit on a mission to strengthen communities by getting healthy food to the households that need it most. Our programs are built to be integrated into community healthcare systems and are designed to scale with our partnerships and emerging opportunities.

Programs:


Fresh Truck mobile markets bring affordable, healthy food to low-income neighborhoods throughout Boston.
Fresh Connect is a digital payment platform that enables health care providers to subsidize the cost of healthy food for patients and analyze the health-related impacts of improved diets.
Fresh Box - Door-to-door food distribution program developed in response to the COVID-19 crisis.

Job Description

Market Managers are the face of Fresh Truck in our communities, they make the shopping experience for our customers delightful and unique. This role requires a diverse skill as well as a passion for community building and food. We are hiring an additional Market Manager to support our COVID-19 response efforts including managing Fresh Box deliveries.

What you'll do:


Drive a full-size, 39ft school bus
Create an inviting shopping experience through engaging customer service
Manage market support staff, youth employees, and volunteers
Load fresh produce in and out of the mobile markets at the beginnings and ends of shifts
Support other Fresh Truck initiatives such as customer surveys and operations process improvement
Drive Fresh Box delivery routes ensuring households get the food they need

Who you are:


An excellent driver, accustomed to driving in an urban environment; strong preference for individuals with experience driving box trucks and large vehicles
You're willing to get your hands dirty, comfortable with some heavy lifting and will stop at nothing to make things happen
Embrace working within diverse community settings and with a strong sense of social justice; being multilingual (Spanish, Haitian Creole, Portuguese, Cantonese, Mandarin) is huge a plus

Requirements


Driver's license with clean driving record for the past 3 years
Ability to lift ~50lb on a regular basis
Positive attitude and willingness to learn
Work collaboratively with the team of Market Managers

Compensation and Benefits


Competitive, experience-based salary starting at $45,000
Full medical, dental, and vision insurance
Free groceries every shift",Fresh Truck Market Manager,"https://www.glassdoor.com/job-listing/fresh-truck-market-manager-about-fresh-JV_IC1154532_KO0,26_KE27,38.htm?jl=3560672086"
1007,"Job Description

KELLY SERVICES IS HIRING FOR MULTIPLE GROCERY CLERKS AND BAGGERS FOR A GROCERY STORE IN THE CAMBRIDGE, MA AREA!!



Multiple shifts and hours to choose from
No experience necessary
$15 an hour for both positions


HOURS:

8am-4:30pm

12pm-8:30pm

3:30pm-12am

SHIFTS:

Monday-Friday

Sunday-Thursday

Thursday-Monday

Please contact me right away because these positions are going quickly!!

APPLY IMMEDIATELY:

5116@kellyservices.com

(814) 838-1146 ext. 202

Why Kelly®?As a worker today, its up to you to take charge of your career and look for opportunities to learn, grow, and achieve your potential. Helping you find whats next is what were all about. We know whats going on in the evolving world of workjust ask the 440,000 people we employ each year. Connecting with us means getting the support, guidance, and opportunities needed to take your career where you may have never imagined.About Kelly®At Kelly, were always thinking about whats next and advising job seekers on new ways of working to reach their full potential. In fact, were a leading advocate for temporary/nontraditional workstyles, because we believe they allow flexibility and tremendous growth opportunities that enable a better way to work and live. Connecting great people with great companies is what we do best, and our employment opportunities span a wide variety of workstyles, skill levels, and industries around the world.

Kelly is an equal opportunity employer committed to employing a diverse workforce, including, but not limited to, minorities, females, individuals with disabilities, protected veterans, sexual orientation, gender identity. Equal Employment Opportunity is The Law.]]",GROCERY CLERKS & BAGGERS,"https://www.glassdoor.com/job-listing/grocery-clerks-baggers-kelly-services-JV_IC1154545_KO0,22_KE23,37.htm?jl=3560671719"
1008,"Title

Operations Assistant

23-Apr-2020

Department

Medicine-Emergency Medicine

AutoReqId

55129BR

Status

Part-Time

Standard Hours per Week

30

Shift

Day, Evening

Job Posting Description

At Boston Children’s Hospital, success is measured in patients treated, parents comforted and teams taught. It’s in discoveries made, processes perfected, and technology advanced. In major medical breakthroughs and small acts of kindness. And in colleagues who have your back and patients who have your heart. As a teaching hospital of Harvard Medical School, our reach is global and our impact is profound. Join our acclaimed team and discover how your talents can change lives. Yours included.

The Operations Assistant will be responsible for:


Serving as a liaison to for the Emergency Department to resolve equipment, supply, safety, compliance, operational, and cleaning issues.Regulatory, Safety, and Compliance:


Participating in daily safety huddles to address safety and regulatory compliance.Visually monitoring environment for compliance with regulatory agencies, including JCAHO to include the following:


Equipment checksFire and life safetyMonitoring of compressed gas cylinders
Participating in Engineering/Safety/ESD rounds. Maintaining compliance with safety requirements. Arranging annual safety inspections of electrical equipment. Working with Safety personnel to ensure proper storage of supplies and equipment.Conducting weekly audits, including


Eye wash station, etc.Organization of all storage areas/rooms, elevator landing and emergency equipment.



Equipment Management:


Interfacing with staff continuously throughout the day related to equipment needs and quickly problem solving issues.Maintaining equipment and furniture inventory for areas and monitoring to ensure all equipment and furniture are in good working order.Maintaining an accurate list of medical equipment to include information such as serial number, date of purchase, repair history, etc.Collaborating with Health Technology Management to resolve medical equipment issues.Conducting inventory of equipment and notifying supervisor of missing items. Identifying and tagging items in need of repair and develops tracking system to ensure return to area.Bringing all unresolved equipment issues to the attention of the Administrator/Coordinator.Ensuring all equipment is cleaned in a timely manner.Stocking and organizing supplies in assigned areas, such as patient rooms and anything non ParEx.
Administrative and Patient Experience Rep


Answering, screening and routing telephone calls. Responding to requests for routine information or assistance within scope of knowledge and authority.Greeting and directing patients, families and visitors. Monitoring daily schedule and patient flow to optimize resource utilization and patient experience. Communicating with clinicians and/or supervisor and routes patients/visitors to maintain efficient patient/visitor flow.Communicating with other departments to coordinate ancillary clinical/administrative services.Performing routine administrative duties, such as opening and sorting mail, photocopying materials and sorting, collating and distributing documents.Organizing and scheduling conferences, seminars and other department sponsored programs or events. Organizing documents and/or presentations and logistics for meetings, presentations and events.


To qualify, you must have:


High School degree or equivalent1 year customer service, administrative, or experience in a health care setting.


Boston Children’s Hospital offers competitive compensation and unmatched benefits, including a flexible schedule, affordable health, vision and dental insurance, generous levels of time off, 403(b) Retirement Savings plan, Pension, Tuition Reimbursement, and discounted rates on T-passes. Discover your best.

Boston Children’s Hospital is an Equal Opportunity / Affirmative Action Employer. Qualified applicants will receive consideration for employment without regard to their race, color, religion, national origin, sex, sexual orientation, gender identity, protected veteran status or disability.

Office/Site Location

Boston

Regular, Temporary, Per Diem

Regular

Boston Children's Hospital",Operations Assistant,"https://www.glassdoor.com/job-listing/operations-assistant-boston-children-s-hospital-JV_IC1154532_KO0,20_KE21,47.htm?jl=3560652091"
1009,"Job Title:  Regulatory Affairs CMC Manager (JP7216)

Location: Boston, MA or Thousand Oaks, Ca. Remote work during Covid-19 restrictions.

Employment Type: Contract

Business Unit:  Regulatory Affairs - CMC Function

Duration: Initial 8 months with likely extensions

Job posting date: 4/23/20

3 Key Consulting is hiring a Regulatory Affairs Senior Associate for a consulting engagement with our client, a leading global biopharmaceutical company.

Ideal candidate: Previous experience with our client in the biotech industry, CMC, System/Programming knowledge. IT experience/programming experience in context of CMC/Module 3 a plus

Job Description:

Assist in the development of module 3 templates that will enable population by automation tools, and enable structured content management. Knowledge of the Common Technical Document (CTD), such as Module 3 for regulatory documents such as CMC related sections. Must have some knowledge of CMC and structured content. Be prepared to work within data systems and processes related to regulatory submissions. Working with cross collaborative teams and CMC authoring.

Why is the Position Open?

Supplement additional workload.

Top Must-Have Skill Sets:



6+ years of regulatory experience
Common Technical Document (CTD) knowledge such as Molule 3 (CMC)
Data systems and processes related to regulatory submissions


Day to Day Responsibilities:

Work with a team to update module 3 templates to enable automation.

Employee Value Proposition:

Ability to work cross functionally on a top priority team

Red Flags: No RA experience

Interview process:

Phone screening followed by skype.

We invite qualified candidates to send your resume to resumes@3keyconsulting.com. If you decide that youre not interested in pursuing this position, please feel free to look at the other positions on our website www.3keyconsulting.com. You are welcome to also share this posting with anyone you think might be interested in applying for this role.",Regulatory Affairs CMC Manager,"https://www.glassdoor.com/job-listing/regulatory-affairs-cmc-manager-3-key-consulting-JV_IC1154532_KO0,30_KE31,47.htm?jl=3560538390"
1010,"StudyPoint’s mission is to help kids succeed in school. We’re a growing ed-tech company and a leader in the online and face-to-face tutoring space.

While we think we have a great story to tell on multiple fronts, we’ve done very little PR throughout our 20-year history. We’d like to change that, and as a result we’re seeking someone to help us develop and pitch several storylines to local and national media outlets.

If you’ve built a great public relations skill set, can manage multiple key initiatives independently, are a creative problem solver, and take pride in deploying high quality marketing efforts, then we encourage you to learn more about joining our team.

Responsibilities

Help develop and craft the narrative and strategy for our outreach.Build campaign materials and media contact lists.Distribute and pitch company storylines across local and national media outlets.Coach senior leadership team on media engagements and interviews.Work with members of our marketing team and our CEO to integrate and align on brand messaging.In addition to the above core responsibilities, you’ll have the opportunity to wear multiple marketing hats and contribute on projects as we look to continue innovating on the marketing front.

Qualifications

A strong intellect (and a Bachelor’s Degree).4+ years of public relations experience.Excellent written communication skills and strong pitching skills.An exceptional work ethic and meticulous attention to detail.A passion for marketing and helping kids.Ability to react and adjust to shifting priorities.

Benefits

This will be a full-time position, though it will start out as a temporary role with the potential to become permanent.Work from home.The opportunity to work side by side with senior leadership to shape marketing strategies and campaigns.A tremendous opportunity for learning and growth: you'll be a key player on campaigns that affect the entire organization's success. (You'll never find that level of responsibility and exposure in a large company.)A fun and supportive team that is as intelligent, as driven, and as passionate about their work as you are.The certainty that the work you do contributes to the educational success of students across the country, and soon -- the globe.

Job Types: Full-time, Temporary

Salary: $45,000.00 to $50,000.00 /year

Experience:

Public Relations: 4 years (Preferred)

Education:

Bachelor's (Required)

Work Location:

Fully Remote

Benefits:

None

This Company Describes Its Culture as:

Detail-oriented -- quality and precision-focusedOutcome-oriented -- results-focused with strong performance cultureTeam-oriented -- cooperative and collaborative

Schedule:

Monday to Friday",Public Relations Specialist,"https://www.glassdoor.com/job-listing/public-relations-specialist-studypoint-JV_IC1154532_KO0,27_KE28,38.htm?jl=3560526940"
