"companyDetails/@type","companyDetails/logo","companyDetails/name","companyDetails/sameAs","datePosted","employerName","employerRating","id","jobDetails","jobLocation/@type","jobLocation/address/@type","jobLocation/address/addressCountry/@type","jobLocation/address/addressCountry/name","jobLocation/address/addressLocality","jobLocation/address/addressRegion","jobLocation/address/postalCode","jobLocation/geo/@type","jobLocation/geo/latitude","jobLocation/geo/longitude","jobTitle","salary/@type","salary/currency","salary/value/@type","salary/value/maxValue","salary/value/minValue","salary/value/unitText","url"
"Organization","https://media.glassdoor.com/sqll/371652/johnleonard-squarelogo-1549993351385.png","JOHNLEONARD","www.johnleonard.com","2020-04-21"," JOHNLEONARD","4.8","3474481524","Temporary Paralegal

Salary: DOE

3+ years of related paralegal experience in probate law required

A leading medical school center is hiring a Temporary Paralegal to join their office in Shrewsbury, MA. In this role, you will serve as a resource for staff members primarily in matters concerning estate recovery and you will ensure the integrity of collection outcomes, according to federal and state estate recovery regulations.

Responsibilities


 Paralegal will refine and enhance current operations, implementing innovative methods to identify new cases, verify claims and recover payments originally paid by Medicaid
 Research, maintain and understand compilation of all Federal and State statutes and regulations pertaining to Third Party and Estate Recovery
 Maintain a caseload as assigned, following established protocols
 Identify benefits paid by Medicaid and calculate the total value to be recovered in each case
 Communicate and collaborate with probate courts, attorneys, hospitals, insurance companies and other relevant entities to insure all Medicaid related Estate Recovery cases are referred to the unit and processed accordingly
 Conduct legal research through the use of public databases and web based applications
 Research record of ownership and title of real estate at the Registry of Deeds

Requirements


 Bachelor’s Degree
 3 years related paralegal experience in probate law
 Paralegal certificate required
 Knowledge of Massachusetts statutes as it relates to Estate Recovery
 Understanding of Medicaid regulations as they govern eligibility requirements
 Proficient in Microsoft Office, web based solutions, and scanning software
 Proficient in Probate and Real Estate Law, Wills and Trusts, Chain of title research and insurance regulations pertaining to Medicaid qualifying annuities","Place","PostalAddress","Country","US","Boston","MA","02110","GeoCoordinates","42.3583","-71.0603","Temporary Paralegal #28252","MonetaryAmount","USD","QuantitativeValue","55000","50000","YEAR","https://www.glassdoor.com/job-listing/temporary-paralegal-28252-johnleonard-JV_IC1154532_KO0,25_KE26,37.htm?jl=3474481524"
"Organization","https://media.glassdoor.com/sqll/371652/johnleonard-squarelogo-1549993351385.png","JOHNLEONARD","www.johnleonard.com","2020-04-17"," JOHNLEONARD","4.8","3498359986","Temporary Administrative Assistant

Salary: DOE

1 year of office administrative experience required

A religious establishment in Natick, MA is seeking a Temporary Administrative Assistant to assist with various tasks around their tight-knit office. If you have experience with Adobe and Microsoft Office and are looking to gain further experience in web design, apply today!

Responsibilities


 Administrative Assistant will design and create the organization’s weekly newsletter and brochures
 Collaborate and collect information to ensure accurate and informative bulletins are created
 Organize and print out copies of the newsletter for distribution
 Provide administrative support to the office and employees
 Receive and direct phone inquiries

Requirements


 High School Diploma
 1 year of office administration experience
 Experience with Adobe and Microsoft Office
 Experience working with Mac computers
 Excellent verbal and written communication skills","Place","PostalAddress","Country","US","Boston","MA","02110","GeoCoordinates","42.3583","-71.0603","Temporary Administrative Assistant #28319","MonetaryAmount","USD","QuantitativeValue","87000","80000","YEAR","https://www.glassdoor.com/job-listing/temporary-administrative-assistant-28319-johnleonard-JV_IC1154532_KO0,40_KE41,52.htm?jl=3498359986"
"Organization","https://media.glassdoor.com/sqll/118246/simon-kucher-and-partners-squarelogo-1534196861578.png","Simon-Kucher &amp;amp; Partners","www.simon-kucher.com","2020-04-07"," Simon-Kucher & Partners","4.1","3284376296","About Simon-Kucher & Partners For over 30 years, Simon-Kucher & Partners has helped development stage to Global Fortune 500 companies in addressing their strategic and marketing challenges. We are regarded as the world’s leading pricing advisor and thought leader. We focus on TopLine Power® by helping clients grow their top-line through strategy, pricing, marketing and sales. Globalization is a core element of our goals and strategy. Today we are an international and multilingual team of over 1,300 full-time employees from diverse academic and professional backgrounds in offices across the US, Europe, Asia Pacific, and South America.
Life Sciences Division
Life Sciences is one of our leading industry practices at Simon-Kucher & Partners. In the US we operate out of Boston, Chicago, San Francisco, and New York. We have advised 24 of the top 25 pharmaceutical companies, top 5 biotechnology companies, and 40 of the 50 largest medical device and diagnostics companies. We have developed strategies for 8 of the 10 worlds’ best-selling drugs. Roughly 75% of our projects have an international component.
Our core competencies include:

Market prioritization and portfolio development
Value proposition and trial-planning
Pricing and market access
Marketing and sales excellence

Additional requirements:
We are looking for outstanding candidate to support the growth of our Life Science Division in Boston.

Strong problem solving skills: You effectively combine analytical skills with business acumen to structure problems, deliver solutions and communicate insights
Entrepreneurial spirit: You are a self-starter and a finisher. You enjoy contributing to the growth of an organization. You show commitment to the success of your team.
Drive: You set ambitious goals for yourself. You are energetic, enjoy a fast pace environment and thrive in taking on responsibility.
Undergraduate degree required, higher education is a plus
Excellent communication skills, both verbal and written

Furthermore, we expect you—as an experienced candidate—to grow quickly into the role of team leader. You would be responsible for synthesizing research and analysis into strategic recommendations for our clients, and for contributing relevant insights from your previous experience and relevant subject matter expertise.
What to include in your application Please attach all required documentation as incomplete applications will not be reviewed:

Cover Letter

Work authorization status
Preferred start date

Resume

Standardized test scores
Foreign language skills and level of fluency


Temporary visa sponsorship is at the discretion of Simon-Kucher & Partners LLC. At present, the company only sponsors applicants with graduate degrees.","Place","PostalAddress","Country","US","Cambridge","MA","02141","GeoCoordinates","42.3683","-71.0824","Consultant, Life Sciences","MonetaryAmount","USD","QuantitativeValue","139233","108799","YEAR","https://www.glassdoor.com/job-listing/consultant-life-sciences-simon-kucher-partners-JV_IC1154545_KO0,24_KE25,46.htm?jl=3284376296"
"Organization","https://media.glassdoor.com/sqll/5631/trader-joe-s-squarelogo-1484267290025.png","Trader Joe&amp;#039;s","www.traderjoes.com","2020-04-20"," Trader Joe's","4.2","3536984411","At this time workers across the country are impacted by this crisis, specifically those employed in retail, restaurant, hospitality and the travel industry. At Trader Joe's we are working diligently to support our communities and ensure our customers have access to food and necessary household staples during this time. To those who have found their hours limited or jobs placed on hold, we invite you to join our Crew until your employer is able to welcome you back.

Is it you? 

Our Crew Members create a warm and friendly shopping experience in our stores. We answer questions, offer suggestions and ensure our customers know they are welcomed and cared for. We entertain customers and make grocery shopping an exciting adventure. Some responsibilities may include:


Working on teams to accomplish goalsOperating the cash register in a fun and efficient mannerBagging groceries with careStocking shelvesCreating signage to inform and delight customersHelping customers find their favorite products

You'll learn a lot. You aren't stuck doing one task here. Each Crew Member contributes to a WOW customer experience by participating in all aspects of the job.

If you have a passion for people and a fervor for food, we'd love to meet you. We can teach you the rest.

Trader Joe's is an equal opportunity employer and is committed to hiring a diverse Crew.","Place","PostalAddress","Country","US","Boston","MA",,"GeoCoordinates","42.3583","-71.0603","Temporary Retail Store Associate",,,,,,,"https://www.glassdoor.com/job-listing/temporary-retail-store-associate-trader-joe-s-JV_IC1154532_KO0,32_KE33,45.htm?jl=3536984411"
"Organization","https://media.glassdoor.com/sqll/371652/johnleonard-squarelogo-1549993351385.png","JOHNLEONARD","www.johnleonard.com","2020-04-08"," JOHNLEONARD","4.8","3549912036","Temporary Billing Specialist

Salary: DOE

1-2 years of medical billing experience required

An organization in Westborough, MA is looking to hire a Temporary Billing Specialist. This is a full-time temporary position working on a Medicare/Medical Billing project. Apply today if you are a quick learner looking for a new opportunity!

Responsibilities


 Billing Specialist will electronically post into the Meditech system
 Calculate adolescent vs. adult payments
 Review and submit Medicaid denials
 Identify hospital accounts where Medicare or other third party insurance is primary billing source for pharmacy charges
 Update spreadsheets
 Research open accounts receivable balances
 Determine if insurance has adjudicated
 File patient financial information and insurance remits

Requirements


 1-2 years of medical billing experience
 Experience with Microsoft Excel
 Knowledge of Medicare and/or Medicaid billing
 Experience with Meditech and Virtual Gateway
 Knowledge of inpatient psychiatric billing","Place","PostalAddress","Country","US","Boston","MA","02110","GeoCoordinates","42.3583","-71.0603","Temporary Billing Specialist #27819","MonetaryAmount","USD","QuantitativeValue","80000","75000","YEAR","https://www.glassdoor.com/job-listing/temporary-billing-specialist-27819-johnleonard-JV_IC1154532_KO0,34_KE35,46.htm?jl=3549912036"
"Organization","https://media.glassdoor.com/sqll/1355350/pqe-squarelogo-1582586885122.png","PQE","www.pqegroup.com","2020-03-26"," PQE","3.9","3506433850","Job Location:Cambridge, Boston - MA, USA
IT Validation Lead


 Requested Languages:
	
OR
PQE is a service provider company, leader in Pharmaceutical and Medical Device sectors since 1998. With a network of over 600 dedicated consultants, PQE delivers the highest level of expertise to more than 160 customers worldwide. An international group, PQE operates in over forty countries throughout Europe, Asia and the Americas. PQE offers a worldwide coverage with offices and representatives across Europe, Asia, the Middle East and Latin America, in order to better serve these specific local markets.

Due to a constant growth, PQE is looking for a new IT Validation Lead based in Boston or available to travel/ relocate to Boston for minimum 6 months.

RESPONSIBILITIES:



The role of IT Validation/SDLC Lead provides compliance leadership and direction to business and project teams in Software Development Life Cycle (SDLC)/Computer System Validation (CSV)/Lab Systems/Lab Equipment/ IT Infrastructure Qualification standards and practices.

 This will be accomplished by:

Participating in the delivery of system solutions by documenting SDLC/CSV/Qualification activities.
Developing validation/qualification/migration/verification strategies for complex Information Management Systems, Software (including lab), data, mobility, infrastructure/components and/or business processes prior to release into a live environment per company procedure(s).
Executing validation/qualification/verification/migration strategies per company procedure(s).
Conducting High Level Risk Analyses and System Functional Risk Analyses
Preparing Test Plans and support system verification
Managing Test Incidents and Deviations
Supporting System Change Management
Providing validation/verification/qualification training to stakeholders as necessary.
Managing relationships with key customers and stakeholders to ensure the total validation/verification/qualification solution delivered to the customer meets/exceeds expectations.
Working with offshore team/testers.
Ensuring SDLC/CSV/Qualification activities are conducted in a cost-effective manner.


The Candidate will work and/or lead in multidisciplinary teams.




	REQUIREMENTS:



Experience with R&D and Quality Management Systems
Knowledge of GcP and GMP
Knowledge of Veeva Systems
Leadership
Relational & communication skills
Project management
Resource management
Prioritization skills/Time management
Strong work ethic
Availability to travel or to accept temporary relocations in US is a must
US Work permit (green card)


	

If interested, please send your resume clicking the button on the left of this page.

Our collaborators are engaged, developed, challenged and well-rewarded for performance. We recognize the importance of leadership at all levels of our organization in order to succeed in a challenging business environment, and we are committed to providing practical processes and programs to identify, develop and inspire all our current and future leaders.","Place","PostalAddress","Country","US","South Boston","MA",,"GeoCoordinates","42.3333","-71.05","IT Validation Lead","MonetaryAmount","USD","QuantitativeValue","113188","100348","YEAR","https://www.glassdoor.com/job-listing/it-validation-lead-pqe-JV_IC1166573_KO0,18_KE19,22.htm?jl=3506433850"
"Organization","https://media.glassdoor.com/sqll/3322/pearson-squarelogo-1455121186305.png","Pearson","www.pearson.com","2020-03-31"," Pearson","3.2","3543517567","**Remote Greeter/Proctor, Temporary**  **Description**  We are the worlds learning company with more than 24,000 employees operating in 70 countries. We combine world-class educational content and assessment,powered by services and technology, to enable more effective teaching and personalized learning at scale. We believe that wherever learning flourishes so do people.  TheOnVUEGreeter and Proctorroles areresponsible forthe check- in and live monitoring of candidates who are testing remotely via Pearson VUEs Online Proctored (OnVUE) delivery mode.Pearson VUE relies heavily upon both rolesto ensure the security and integrity of exams, and to provide a smooth and positive candidatetestingexperience.  The primary responsibility of greeters isto check candidates in for testing; check-in steps include verifying candidate identify via ID checkand reviewing the candidates testing environment to ensure security compliance.Most interactions can occur via chat, but phone contacts are also available if the greeter has a mic and/or headset.Greeters also aid and provide an escalation pathto Pearson VUE support teamswhen issues arise during the check-in process.  The primary responsibility of proctors is toensure a secure testing process for the duration of the exam. Proctors intervene if a candidate breaks key rules(provided to them ahead of testing)that put either exam content or the integrity of testing at risk; theserulesinclude use of a mobile phone or paper/pencil, leaving the room while testing,and allowing a third party to enter the room. Proctors also aid and provide an escalation pathto Pearson VUE support teamswhen issues arise during testing.Most interactions can occur via chat, but phone contacts are also available if the proctor has a mic and/or headset.  **Qualifications**  Successfulcandidates will have excellent communication skills,greatattention to detail and astrong customer service focus.  **Assignment details**  This is a temporary assignment scheduled to start within the next 2 weeks.Its estimated to runapproximatelythroughearly June, although the end date may fluctuate based on changes in workload.  + Work schedule:Work schedules would be determined based onyour availability responses as well as theavailable testingschedules.  + Work location: This is a remote position. All work will be performed from home using your own equipment.  Pearson is an Equal Opportunity and Affirmative Action Employer and a member of E-Verify. All qualified applicants, including minorities, women, protected veterans, and individuals with disabilities are encouraged to apply.  **Primary Location:** US-RE-Remote  **Work Locations:** US-Remote Remote  **Job:** Customer Service  **Organization:** Assessments VUE  **Employee Status:** Casual/Seasonal  **Job Type:** Standard  **Job Posting:** Apr 20, 2020  **Job Unposting:** Ongoing  **Schedule:** Full-time Temporary  **Req ID:** 2004043Pearson is an Equal Opportunity and Affirmative Action Employer and a member of E-Verify. All qualified applicants, including minorities, women, protected veterans, and individuals with disabilities are encouraged to apply.","Place","PostalAddress","Country","US","Boston","MA",,"GeoCoordinates","42.3583","-71.0603","Remote Greeter/Proctor, Temporary","MonetaryAmount","USD","QuantitativeValue","35410","22224","YEAR","https://www.glassdoor.com/job-listing/remote-greeter-proctor-temporary-pearson-JV_IC1154532_KO0,32_KE33,40.htm?jl=3543517567"
"Organization","https://media.glassdoor.com/sqll/371652/johnleonard-squarelogo-1549993351385.png","JOHNLEONARD","www.johnleonard.com","2020-04-17"," JOHNLEONARD","4.8","3472513328","Temporary Staff Accountant

Salary: DOE

3-5 years of experience in payroll and accounts receivable required

A well-known real estate development corporation is looking to hire an experienced Temporary Staff Accountant in Jamaica Plain, MA. In this role, you will be responsible for all phases of real estate projects in development, payroll, and accounts receivable.

Responsibilities


 Staff Accountant will maintain systems to track financial progress of real estate development projects and prepare funding requisitions
 Maintain regular communications with project staff, lenders and consultants regarding project costs and financing requirements
 Work with program and project managers to develop budgets for programs and real estate development projects
 Assist in setting up new accounting entities as required for new development projects
 Record and process donation report and reconcile to ensure they are being reported properly
 Reconcile and report on loan program
 Process Real Estate payments when funds are available
 File annual reports for all entities
 Assist with changing recurring entries on an annual basis
 Provide back-up support for accounts payable, and support for child care transactions
 Assist in reconciling general ledger accounts on a monthly basis to maintain accuracy of accounts
 Process payroll on a bi-weekly basis
 Process all payroll taxes, record payroll and assist with annual audits that pertain to payroll
 Assist with accounting software administration

Requirements


 Bachelor’s Degree preferred
 3-5 years of experience in payroll and accounts receivable
 ADP, Peachtree (Sage 50) and Microsoft office experience a plus
 Ability to prepare requisitions for various funders
 Strong communication skills
 Strong organizational skills with a detail-oriented mindset
 Demonstrated ability in Real Estate accounting for properties in development is plus 

 Bilingual oral and writing skills (Spanish/English) is a plus","Place","PostalAddress","Country","US","Boston","MA","02110","GeoCoordinates","42.3583","-71.0603","Temporary Staff Accountant #28262","MonetaryAmount","USD","QuantitativeValue","66000","60000","YEAR","https://www.glassdoor.com/job-listing/temporary-staff-accountant-28262-johnleonard-JV_IC1154532_KO0,32_KE33,44.htm?jl=3472513328"
"Organization","https://media.glassdoor.com/sqll/43174/boston-squarelogo-1424080734448.png","City of Boston",,"2020-04-14"," City of Boston","3.5","2696038339","OverviewTHIS IS A TEMPORARY POSITION FOR APPROXIMATELY 10 MONTHS WITH POSSIBILITY TO RENEW.

EMPLOYMENT IN THIS POSITION WILL BE VIA AN EMPLOYMENT AGREEMENT.

Brief Job Description (essential functions of the job):

The Boston Transportation Department (BTD) is seeking candidates for its Active Transportation community programs team. Team members support multiple education and outreach initiatives, with most of their time dedicated to on-bike youth and adult educational programming across the City. ResponsibilitiesResponsibilities may include, but are not limited to:

Under the supervision of the Active Transportation Director,



 Instruct bicycle skills, the parts of a bicycle, flat-repair, and bicycle safety rules to students ranging from elementary school children to older adults.
Lead group rides and on-bicycle skill-building activities, keeping the class organized and safe.
Select bicycle routes and assess risk.
Transport bicycles and helmets to/from sites, sometimes hundreds in a day.
Assist in maintaining fleet of bicycles and supplies.
Organize and execute events, under direction of an Active Transportation Coordinator.
Engage and educate the public about BTD projects, initiatives, and other transportation safety topics.
Remove and transport abandoned bicycles from the public right-of-way.
Respond to constituent requests, questions, and complaints.
Perform related work as required.


 Minimum Entrance Qualifications




 Experience teaching youth of varied ages.
Value working with diversity of people and team teaching methods.
Enjoy riding a bicycle and be able to ride for work.
Reliable, punctual, and strong work ethic.
Positive, professional attitude and capacity to adapt quickly in response to circumstances.
Proficiency in other languages, such as Spanish, Chinese, Vietnamese, Portuguese, Haitian-Creole, and Arabic, is beneficial but not required.
Bicycle maintenance and mechanic skills beneficial, but not required.
Valid driver’s license with good driving record preferred, but not required.
Ability to exercise good judgment and focus on detail as required by the job.

Pay & Terms:



 $14-$16 per hour, commensurate with experience.
Benefits not included.
10-month Employment Agreement with possibility to renew.
10-35 hours/week, with more hours April-June and September-October.
Summer, weekend, evening, and other opportunities are offered on an as-needed basis.
Boston Residency Required.","Place","PostalAddress","Country","US","Boston","MA",,"GeoCoordinates","42.3583","-71.0603","Bicycling Program Team Member (Temporary Position) (4 Positions)","MonetaryAmount","USD","QuantitativeValue","31644","24629","YEAR","https://www.glassdoor.com/job-listing/bicycling-program-team-member-temporary-position-4-positions-city-of-boston-JV_IC1154532_KO0,60_KE61,75.htm?jl=2696038339"
"Organization","https://media.glassdoor.com/sqll/371652/johnleonard-squarelogo-1549993351385.png","JOHNLEONARD","www.johnleonard.com","2020-04-03"," JOHNLEONARD","4.8","3440211218","Temporary Mortgage Closing Coordinator

Salary: DOE

3 years of lending experience, 1 year Mortgage Loan closing experience required

An established bank in Cambridge, MA is looking to hire an experienced Temporary Mortgage Closing Coordinator to join its team. Under the general direction of the Vice President, you will perform a variety of administrative tasks in connection with the closing documentation of all mortgage loans.

Responsibilities


 Mortgage Closing Coordinator will perform quality control function to ensure completeness and accuracy of file and satisfaction of commitment conditions
 Ensure loan is authorized to close
 Monitor pipeline and schedule loan closings in accordance with rate lock and commitment expiration dates
 Serve as liaison with closing attorneys and correspondent lenders
 Review necessary loan documentation for accuracy prior to closing, request corrections if needed



 Prepare legal documents for consumer and mortgage loan closings and submit to attorney or Branch for completion and signatures
 Calculate net funds (refunds and receivables) and disburse via wire or on-line deposit
 Prepare and monitor management reports
 Monitor receipt of legal documents from closing attorneys
 Review legal documents for completeness and accuracy
 Ensure federal, state, and Bank regulations are properly adhered to by all parties
 Monitor results of operational audits and ensure operational preparedness for audits and regulatory examinations
 Ensure compliance with established policies, procedures, and laws and regulations

Requirements


 Bachelor’s Degree
 3 years lending experience, 1 year Mortgage Loan closing experience
 Working knowledge of Microsoft Word and Excel
 Strong interpersonal and communication skills (both verbal and written)
 Ability to perform a variety of tasks simultaneously while adhering to deadlines and working independently
 Must be detail oriented and have excellent organizational, analytical and problem solving skills","Place","PostalAddress","Country","US","Boston","MA","02110","GeoCoordinates","42.3583","-71.0603","Temporary Mortgage Closing Coordinator #28176",,,,,,,"https://www.glassdoor.com/job-listing/temporary-mortgage-closing-coordinator-28176-johnleonard-JV_IC1154532_KO0,44_KE45,56.htm?jl=3440211218"
