"description","id","location","positionName","url"
"**PHONE INTERVIEWS AVAILABLE**Benefits Include: Weekly PaychecksDirect DepositFlexible ScheduleA Boston-area Hospital is currently seeking Mental Health Workers! The Mental Health Worker provides hands-on care to mental health patients with COVID-19.All Shifts Available! 7am-3pm, 3pm-11pm, 11pm-7amGreat opportunity for applicants looking for 8-hour shifts, days, evenings, or overnights. Full-time and part-time.Responsibility of the Mental Health WorkerProvide direct care services in the skills of daily living by instructing and/or assisting patients in feeding, bathing, dressing, oral and physical hygiene, self-preservation, etc.Taking and reporting vital signs to ensure the daily needs are metRequirements of the Mental Health WorkerExperience working with mental health patientsPatience in stressful situationsAbility to work flexible hoursA passion for helping othersPlease submit resume to Amanda for immediate consideration!(800) 442-5581 / (617) 471-7200EOEJob Types: Full-time, Part-timeExperience:Mental Health: 1 year (Required)Benefits:NoneSchedule:Other","ed4add69e6f06411","","Mental Health Worker - $30/hour **$500 SIGN-ON BONUS**","https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CEa78LMfhfhe89RYgeg1dxSgNb0PJyODVR49EQbQZt0aW2QcH2Mi7ChBcyvhTuHFv-UxEibmQCntjL-FIgsqiRiduRHvYQnBZH0_oJ2cniY1XBPj8k_IT5oC7MIgiX-TopwzjiKmh9xljbu8r3zWFoyiyHMyw-Kj2mJj9uySvMEqxZWDOnq2QKftpnByOPBwAprxNXjXA8JslvQGnKpYXyRb7a91QfGU0CMZ7XU8aJdw34AZzY3DE1jj45VDHdSN0Oe1p0VKAEGZ3nX8wpdTZBGlz7zEX95gMBu9dVnblnkDqXpxEkvPZtTtC0OjvzvMzqh2JQkvdKcyTL5USQRaVrWeZWZIsmbQHjDbZQy65dr8-QtNBbClDNusUbN5t2V94GxLjwFuINrXVH91lfD3oVb3a-x53myUfygCFaLXVWj0YguR84U7B916JPik9tBT9W6YhbSCRbzGGPfHA2VuA9tj_9TSu3tl6jnTY-O--uuVaRL4pc1rtf&p=0&fvj=1&vjs=3"
"Regional LPN - COVID-19 About Us: Metro One is the nation’s premier Loss Prevention and Security Organization, with more than 100 National Clients and 3,000 security personnel. Our employees are largely security officers, unarmed and armed, concierge officers, special event security, and trained and licensed personnel who work in retail, logistics, corporate, education and other industries and settings. Importantly, we are a Living Wage Employer, which elevated our wage and bill levels, and demands that we deliver.Regional LPN - COVID-19 - LPN for COVID-19 Screening Oversight and Response Summary: The COVID-19 Licensed Practical Nurse - LPN will oversee several sites where temperature readings are being collected as employees, guests and customers enter the work place or business and overseeing crowd monitoring to ensure social distancing procedures are being followed. The Regional LPN - COVID-19 will make corrections by coaching the workforce and re-training, as necessary. The Nurse will maintain compliance and ensure that life safety and health requirements are being met. The Nurse must be licensed by the state of employment and well-versed in health screening concepts, customer service, and best practices for social distancing and temperature reading procedures. The Licensed Practical Nurse -LPN will maintain awareness of CDC guidance and changes in their recommendations and share this information with the appropriate Metro One Management. The Regional LPN - COVID-19 will report to a Performance Manager or Business Leader depending on assignment. If needed, we would assist in getting candidate Security License.Regional LPN - COVID-19 Qualifications: Must be a Licensed Practical Nurse - LPN in the stateLPN LicenseMust have CPR/AED/FA certificationMust Be Willing To Travel on as needed basisAbility to take and interpret vital signs, including body temperaturesMeaningful and verifiable work historyExperience with customer interactionsEffective oral and written communication skillsAbility to travel locally from site to siteAbility to assess and evaluate situations effectivelyAbility to identify critical issues quickly and accurately and direct next stepsAbility to communicate with Client ManagementBe courteous and professional at all timesMust be willing to participate in the Company’s pre-employment screening process and continuously meet any applicable state, county and municipal requirements.Regional LPN - COVID-19 Screening Pay & Benefits: Salary ranges from $50-55k Health, Dental, Vision OfferedOpportunity for GrowthCompany paid uniforms and equipmentRegional LPN - COVID-19 Responsibilities: Oversee technicians who will record temperature screening and answers to screening questionsAbility to work with and communicate with our clients in terms of the temperature taking processTake notifications, respond, and provide direction for any person whose temperature reading is above normalAlert management if anyone displays symptomsOversee temperature screening in compliance with client’s site access procedureAssist in following CDC Guidelines of Social DistancingConduct Safety Checks - Ability to follow established safety policy and procedures and identifies and corrects conditions that affect safety in the workplace.Follow all requirements related to personal protective equipment, cleaning and distancingMaintain social distancing as neededEnsure conduct of Temperature Screening is according to client policies and proceduresReport/communicate temperature results as needed and or requiredInitiate appropriate protocols and notifications when COVID-19 symptoms are discoveredEscalation of issues and or incidents to regional supervisor/client management .Maintain required certifications, licensing and training to achieve professional competency as appropriate for the positionProvide assistance to customers, employees and visitors in a courteous and professional mannerOther duties and responsibilities may be assigned.Job Type: Full-timeSalary: $50,000.00 to $55,000.00 /yearExperience:Licensed Practical Nurse: 3 years (Preferred)Local Travel: 3 years (Preferred)License:Licensed Practical Nurse (Preferred)Benefits:Health insurance","ecf51eb06d3e53b8","","Regional LPN - COVID-19","https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ArwPFAPHmDmUJC3oWYcFDedw4-FKl_V8p2NuvZNDgWP28AJVWZsDqa2Z0T_PARhdU68DV3Ip1SXMTZDSu5XiQWo6JEvrFdPZYsqKcKynpErhGk1RV5L4sy3p8Y-F9iULPXUrkk1xJ8kAAkeuKf6XGgYAMWdYaNqsgBn0vy1b3UKI9Li9KOJ65NPDlytzsD-eimHjIMrwEfAJYGLm0Gz-oR1ejDouCR_j1A6b_TS-mPXbgH1GRjwsuXk8JfMmmxdq9icfQGtXC4Z7NZplRnhRt_SYhCIuWXC-ZZujtRBkzkEbTTRq5nsBlvXr3EKJfNPQB5vjaavhEm5g78QEMB0zWcB3CHKdi6SyFUC4WruGdXzesgLz64Vl0GKrG5ceL0jNijQnU9icaHYZAQOXg5ogBVAIQCHXs4Smo1zQydZo9JXw9nuUAJmXsEkC9QR5bWCFj_E2suYxS5Ig==&p=1&fvj=1&vjs=3"
"IMMEDIATE NEED for CNA's!Interviews available virtually, on ZOOM platform or other platforms.During the COVID-19 crisis, we are offering up to $32 per hour starting rate as a special incentive if you work on the COVID-19 Unit.Full and Part time positions availableExcellent, competitive wage and benefits package! We also offer tuition reimbursement and free meals for all our staff!We are looking for dedicated, caring staff who enjoy taking care of the geriatric and disabled population.Skills and Qualifications: * Current nursing assistant certification (CNA) in the state of Massachusetts, or completion of program, pending state test for CNA certification* Current CPR, Dementia Care Training, first aid certifications a plus.* Flexible schedule, including availability to work evenings, weekends and holidays as neededKatzman Center for Living is a sub-entity of Chelsea Jewish Lifecare, a residential and post-acute care provider that consistently delivers high-quality, compassionate care while focusing on the development of innovative programs and services that enable individuals to live as independently as possible.Chelsea Jewish Lifecare has a friendly work environment with many long-time employees. We offer great benefits and a competitive compensation package including new wage scale and competitive benefits. We would love to meet you!Job Types: Full-time, Part-timeSalary: $19.00 to $32.00 /hourWork Location:One locationBenefits:Health insuranceDental insuranceVision insuranceRetirement planPaid time offFlexible scheduleTuition reimbursementSchedule:Day shiftNight shiftOvertimeOvernight shiftBenefit Conditions:Waiting period may applyWork Remotely:No","2f9852b480ef9826","","Certified Nursing Assistants - COVID-19 UNIT","https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DhID6gYoEwuUTtY0NOSza7lnznWfuFbCsQX1hjaRhqwC-fIaUY2YXgbtNZetqgUNb0HDiDFMYTduG2l2XcPjrt-L9CnJ7ckvJl3clUccuvSVJPf5jP1l8VshCm-M7Kq7u8xxL96_fMGWgglY4eryVEiMr2Dgxei-cwFfP5zp0bUBCOizMDvkYvD1jDXvCBXiSKVumivEgvlfdQ2WBsVGVG6MkO5XJbaS3OFUBSNpswWrnc0Q-4eV6m0JkzSjikGog5aRYNdafAoaQjvLaYOKghH_MqVFqVyBMn-_fJfkbZyN-roeg8B-s5rl6g_Dc2ZO23TmHLB0oqAZa-7q1VErYM84DcXH1P1SXLkqcy2OEN_JJed6IKmlRwMZSccDrWjplcR1PT7X4hN_uyShcA360T8NiF2ChzxVUrShZon9Kx_5q9_uCm-_SJOxgqrkB4RIzdfTjphqhGuYv0cuaT8G4bjkytlxAI-GA=&p=2&fvj=1&vjs=3"
"Type: Temporary approximately for 1 monthShift:  Weekday: 5-7:30AM, 7:30AM-1:30PM, 1:30-4:00PM, 4-10PM, 10PM-12:30, 12:30-6:30AMWeekend: 6AM-6PMEmployer:  BIOKINETIXPreferred Education:  Athletic Trainer(or other health care professionals)Job Description/Employer Information: COVID-19 ScreeningScreening Process Screeners:Screening process to include completion of the COVID-19 Access Questionnaire and a temperature screen, outlined below. Individuals that fail the screening process by either answering “yes” to questions 1-4 on the COVID-19 Access Questionnaire and/or present with a temperature of 100.4 degrees or greater will not be permitted to access the location.Screens will be conducted by licensed/certified medical professionalsAll screeners MUST BE SCREENED prior to conducting screening at locationsRequirements: Equipment/Materials and PPE for Screen Personal Protective Equipment (PPE)Nitrile/Vinyl glovesFacemask (N-95 if available) Equipment and MaterialsForehead temperature monitorBatteriesConsent & Waiver PosterCOVID-19 Access QuestionnaireDocument filing systemPensProtocol for screen failure next stepsProper PPE use and cleaning standardsJob Types: Part-time, TemporarySalary: $35.00 /hourExperience:athletic training: 1 year (Preferred)Health Care: 1 year (Required)Work Location:One locationBenefits:None","255d6e94313bfeea","","Health Screener","https://www.indeed.com/company/Biokinetix/jobs/Health-Screener-255d6e94313bfeea?fccid=f189c97ad2539335&vjs=3"
"We Need to help people in dire need!!!Ezra Home Care is seeking passionate and dedicated people to provide care for clients who have tested positive for the COVID-19 Virus. This full time position will be in a central location providing care for multiple patients. The facility will be staffed with a team of CNA's and HHA's. Full hospital grade PPE will be provided. Shifts will be from 8-12 hours. CNA or HHA is mandatory.Primary ResponsibilitiesHHA/CNA’s accepts responsibility for his/her own actions and provides care per the client care plan, including, but not limited to the following tasks:Assists client with Activities of Daily Living (ADLs) – e.g. bathing/showering, toileting, dressing, feeding, oral hygiene, hair care, etcAssists client with skin care, including turning and positioning the client in order to prevent pressure ulcersReports signs of pressure ulcers/bed soresAssists client with transfers (bed to chair/wheelchair, wheelchair to commode, etc)Maintains a clean and safe environment for client by performing light house keeping services (e.g. cleaning and changing bed linens, cleaning floors with mop and/or vacuuming, cleaning bathroom and kitchen, laundering, etc)Informs supervisor of any changes in clients conditionProvides medication reminders (if in the care plan)Completes required documentation accurately and on timeRespects and maintains client confidentiality, at all timesPerform other duties as need (e.g. grocery shopping, meal preparation, assistance traveling to doctor appointments, etc)QualificationsCaregiver must be at least 18 years oldMust have completed the required certification program or its equivalent for HHAs/CNAs, and has demonstrated competency in this roleAble to be pro-active with clients (whether engaging in conversation or social projects)Demonstrated integrity, maturity, and sound judgmentVerbal and written communication skills needed in order to communicate clearly, effectively and patiently on the phone and in email/text messagesAbility to work in a sometimes stressful, environmentAbility to remain calm, resilient, flexible, with a positive sense of humorMust have valid drivers license (car is also helpful, but not mandatory)Job Types: Full-time, Part-timeSalary: $18.00 /hourExperience:caregiver: 1 year (Preferred)License:CNA/HHA (Preferred)Work authorization:United States (Required)Benefits:None","365dd0d496d63cab","","CNA/HHA COVID Positive Clients (Top Pay, 12 hour Shifts)","https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DAVqcEJwdNOpzRYAwtgB6b2OMiYbSw0Pq2wGVhIRcPEOkG5WKf4X77rMWwv5V004aBJnvYCZshEjxWwd-lAtroTteeQKpIqEnfAiiSm0zWFhgZS3grcCHqODs2KncOJDZICgD9TlYs7iCOr8SvB645RDs5SskmXl5xSkift8oGhPkYbc8MTEhMiC-6ETqhw-DBJ46Dcqkz6i-rnsnKs5DnCTFNnmOlx5Y05IhKZhTcflDwM_QxkhiMrv0Ka1VUGMpYm-xYaaoxRlM9etmprsLXEk98h-HprzNr6Fuq194mNcUc88bt5hmp4TJD3SttIdXPHjnl-7UDb_A72it14RBuC1BL9lmRr4HnThBbout09DSXH8NuKFBrVOrFQX8C47YjnDjpWGDHQaK0pJsCVfdqxFS65COw0-MSguaKQP4gJgRvNa-kJEmKtPuTxoisHrnduPSRhVKg120_t1E6kwHHWtOG58rtvzwcd_lQ7b4uSL6Cd64Mk44v&p=3&fvj=1&vjs=3"
"Mass General Hospital is seeking TEMPORARY REGISTERED NURSES and ADVANCED PRACTICE PROVIDERS with experience for COVID-19 surge.
Mass General has activated its Hospital Incident Command System (HICS) in response to the ongoing Coronavirus (COVID-19) pandemic. Please find the latest news and information here.

We are in need of temporary registered nurses and advanced practice providers with experience for general and critical care COVID-19 inpatient units and the emergency department. All shifts available.
You must have an active Massachusetts license or be eligible for credentials through the Massachusetts emergency credentialing process. Spanish language proficiency is highly desirable, but not required.
You will be hired and onboarded through our in-house temporary service, Bulfinch Temporary Services (BFT). Temporary assignments are not benefits eligible, but you have the ability to be considered for permanent opportunities in the future if interested.

Thank you for your interest in working with us during this pandemic.
MGH Human Resources Team

With some of the nation’s leading experts in emergency planning, clinical care, research, and operations, Partners HealthCare is working to combat the coronavirus (COVID-19) pandemic. Staff across our system are working around the clock to ensure proper precautions, protocols, and resources are in place and to provide safe care to those who need it. To learn more about the Partners HealthCare response to COVID-19 please click HERE


Qualifications


You must have an active Massachusetts license or be eligible for credentials through the Massachusetts emergency credentialing process. RN, NP or PA experience required. Spanish language proficiency is highly desirable, but not required.

EEO Statement

Massachusetts General Hospital is an Equal Opportunity Employer. By embracing diverse skills, perspectives and ideas, we choose to lead. Applications from protected veterans and individuals with disabilities are strongly encouraged.

Primary Location: MA-Boston-MGH Main Campus
Work Locations: MGH Main Campus 55 Fruit Street Boston 02114
Job: Nursing
Organization: Massachusetts General Hospital(MGH)
Standard Hours: 1
Shift: Rotating
Posted Shift Description: All shifts available
Employee Status: Regular
Recruiting Department: MGH Nursing
Job Posting: Apr 13, 2020","1c27b963e4011154","","TEMPORARY RN, NP, PA Positions","https://www.indeed.com/rc/clk?jk=1c27b963e4011154&fccid=3aaabf5c54e51db9&vjs=3"
"You will receive a $300 SIGN-ON BONUS when you work 300 hours with us.
Base rate for caregivers working with COVID patients will be $20 an hour and there is unlimited overtime at $30 an hour for COVID client shifts. All Personal Protective Equipment is provided.
Always Here Home Care is putting together a COVID team of caregivers to provide non-medical home care services to seniors, with a focus on companionship, personal care, homemaking, and transportation services, to enable our clients to continue living comfortably at home through this pandemic. All caregivers working with COVID-19 clients are provided with Personal Protective Equipment (PPE).
As a caregiver, your personality and skills will bring a better quality of life to seniors and adults with disabilities. Your duties on a typical day may include the following:
Promoting client independence and wellness
Accompanying to a museum or community event
Shopping with or for a client
Cooking nutritious meals
Providing personal care (bathing, toileting, medication reminders)
Providing transportation to appointments
Calling the office team to report an emergency or important change in a client's condition
Always Here Offers:
Pay is Negotiable
Flexible schedule: full or part time, based on your availability
ALL SHIFTS available: morning, afternoon, night, overnight; 4 ,6, 8 , & 12 hours shifts
Holiday pay: time and a half
Training and on-going support
A team that is available 24/7: caregivers are never alone!
Employee referral bonus program
Benefits: health, dental, and 401(k) with 4% company matching
Open minded for new ideas and suggestions

Requirements:
Compassion & dedication to providing excellent care
Direct care experience
Cell phone with internet access
MA Driver's License with a clean driving record
A reliable car with current Insurance and MA Registration.

Great extras that are preferred but NOT required:
Strong organizational & communication skills
A CNA, HHA or CPR and/or First Aid Certification
**** All your information will be kept confidential according to EEOC guidelines ****
cwsYw2OyPT","fc7f5664bb492da3","","Caregiver for COVID Clients","https://www.indeed.com/rc/clk?jk=fc7f5664bb492da3&fccid=54a5a00a75588719&vjs=3"
"The Massachusetts State Public Health Laboratory at the Department of Public Health (DPH) offers an opportunity for a professional Molecular Microbiologist with a strong laboratory science background to perform laboratory tests on human specimens in response to novel COVID-19 and other arboviral infections of public health importance. The incumbent will test environmental and clinical specimens for bio-threat agents using molecular techniques.

Duties and Responsibilities (these are a general summary and not all inclusive):
Conducts molecular and conventional testing for novel Coronavirus (causative agent of COVID-19) as well as other infectious agents of public health importance.
Performs immunologic tests, such as Enzyme Immunosorbent Assays (EIA) and Immunofluorescence Antibody Assay (IFA), and/or tissue culture techniques.
Completes Reverse transcription polymerase chain reaction (RT-PCR) to detect presence of respiratory infectious agents, arboviruses, bio-threat agents and other infectious diseases.
Assists in performing sequence analyses and enter test results into computer databases.
Ensures the laboratory areas and reagents are contamination-free.
Performs additional duties as required such as quality control, equipment maintenance, disposal of hazardous waste, and maintenance of frozen specimen collection.
Required Qualifications:
Knowledge of the concepts and theories of microbiology, immunology, molecular biology, basic microbiological, immunological, and molecular biology techniques (microbial culture techniques, biochemical tests, serology, sequencing, and nucleic acid-based detection assays)
Understanding of laboratory certifications and accreditations to ensure adherence to certification and accreditation requirements to meet regulatory requirements.
Demonstrated knowledge of the quality assurance practices (e.g., equipment maintenance, proficiency testing, method validation, staff competency, following standard operating procedures) specific to microbiology, immunological, and molecular biology test methods in a diagnostic setting.
Preferred Qualifications:
American Society for Clinical Pathology (ASCP) certified medical technologist.
Working Conditions:
Willingness to work under conditions of potential exposure to infectious agents.
Willingness to sign a confidentiality statement upon hire.
About the Department of Public Health:
The mission of the Massachusetts Department of Public Health (DPH) is to prevent illness, injury, and premature death, to assure access to high quality public health and health care services, and to promote wellness and health equity for all people in the Commonwealth. We envision a Commonwealth in which all people enjoy optimal health. Massachusetts ranks among the healthiest of states according to comparative analyses, but we face numerous challenges, including chronic and infectious disease, substance abuse, violence, preventable hospitalizations, and health disparities.

DPH coordinates programs and policies to address specific diseases and conditions and offer services to address the needs of vulnerable populations. We also develop, implement, promote, and enforce regulations and policies to assure that the conditions under which people live are most conducive to health and enable people to make healthy choices for themselves and their families. We license health professionals, healthcare facilities and a variety of businesses that impact public health. We operate the state laboratory and four public health hospitals. We monitor health status and manage vital records including births, marriages and deaths. We educate people about public health issues and work closely with local boards of health and community partners to identify and solve public health problems.

Total Compensation:
As an employee of the Commonwealth of Massachusetts you are offered a great career opportunity influencing a wide-spectrum of services to the diverse populations we serve - but it's more than a paycheck. The State's total compensation package features an outstanding set of employee benefits which you should consider towards your overall compensation, including:
75% state paid medical insurance premium
Reasonable Dental and Vision Plans
Flexible Spending Account and Dependent Care Assistance programs
Low cost basic and optional life insurance
Retirement Savings: State Employees' Pension and a Deferred Compensation 457(b) plan
11 paid holidays per year and competitive Sick, Vacation and Personal Time
Tuition benefit for employee and spouse at state colleges and universities
Short-Term Disability and Extended Illness program participation options
Incentive-based Wellness Programs
Professional Development and Continuing Education opportunities
Qualified Employer for Public Service Student Loan Forgiveness Program
Pre-Offer Process:
A criminal background check will be completed on the recommended candidate as required by the regulations set forth by the Executive Office of Health and Human Services prior to the candidate being hired. For more information, please visit http://www.mass.gov/hhs/cori

Education, licensure and certifications will be verified in accordance with the Human Resources Division’s Hiring Guidelines.

Education and license/certification information provided by the selected candidate(s) is subject to the Massachusetts Public Records Law and may be published on the Commonwealth’s website.

For questions, please contact the Executive Office of Health and Human Services HR at 1-800-510-4122 Ext. #2.

Qualifications

First consideration will be given to those applicants that apply within the first 14 days.

Minimum Entrance Requirements:

Applicants must have (A) at least three (3) years of full-time, or equivalent part-time, professional or academic research experience in microbiology, molecular biology, or medical laboratory technology, or (B) any equivalent combination of the required experience and the substitutions below.

Based on assignment, applicants must meet related Clinical Laboratory Improvement Act (CLIA) requirements for High Complexity Testing.

Incumbents may be required to have a current and valid motor vehicle driver’s license at a class level specific to assignment.

Substitutions:
I. A Bachelor’s degree with a major in microbiology, molecular biology, biology, medical laboratory technology, or equivalent scientific field may be substituted for two (2) years of the required experience.

II. A Master’s degree or higher with a major in microbiology, molecular biology, biology or equivalent scientific field may be substituted for the required experience.

An Equal Opportunity / Affirmative Action Employer. Females, minorities, veterans, and persons with disabilities are strongly encouraged to apply.

Official Title: Microbiologist II
Primary Location: United States-Massachusetts-Boston-305 South Street
Job: Science
Agency: Department of Public Health
Schedule: Full-time
Shift: Day
Job Posting: Mar 17, 2020, 6:34:14 AM
Number of Openings: 2
Salary: 61,255.74 - 90,084.80 Yearly
If you have Diversity, Affirmative Action or Equal Employment Opportunity questions or need a Reasonable Accommodation, please contact Diversity Officer / ADA Coordinator: Nahomi Carlisle - 617-642-5471
Bargaining Unit: 09-MOSES - Engineers/Scientists
Confidential: No","fc9ea17d054c2c25","","Junior Molecular Diagnostics Microbiologist","https://www.indeed.com/rc/clk?jk=fc9ea17d054c2c25&fccid=25d2167a5148eee2&vjs=3"
"We are in need of caregivers who would be willing to live-in temporarily with client's who may have recently been discharged from the hospital, after being positive with COVID-19. You will be in full PPE and have 24/7 support from the office. We expect that any elderly person, who is being discharged to home after this experience, is going to need some help at home. You do not have to be certified, but you do need to have some experience, be compassionate, caring and willing to be the sole caregiver for your client.

If you are interested, please fill out an application and someone will follow up with you very soon.

SOME DUTIES:

Meal Preparation
Bathroom and shower assistance
Companionship

Alzheimers/Dementia experience helpful.

Requirements:
â€¢ Ability to treat and care for seniors and their property with dignity and respect
â€¢ Ability to communicate with clients in a friendly and congenial manner
â€¢ Complete a criminal background check and drug screen","594bb0c66ca128e2","","7 Day live-in with COVID-19 Clients--$2,000/week","https://www.indeed.com/rc/clk?jk=594bb0c66ca128e2&fccid=04939308dcb5bc54&vjs=3"
"$250 Sign-on bonus, additional bonuses at 6 months and 1 yearM&L Prodigy Healthcare Inc. is currently looking to grow our staff of Registered Nurses to be available for client care, referrals, and long-term weekly clients.Maybe you are looking for a job in healthcare that isn’t necessarily 9-to-5. If you are seeking independence and flexibility, then home health nursing just might be for you.You have the opportunity to create your own schedule when you are a home health Care nurse and working part-time is always an option.Job FunctionsWound Care is a mustOne to one patient care in a home environment.Execution of physicians prescribed plan of care and compliant documentation of care provided in system of record.Administration of prescribed medication,treatments and therapies.Patient intake, assessments and coordination of careHealth, promotion, teaching, and training of family members.Foley Catheter / Supra pubic CatheterWound Care as well as diabetic foot ulcer careMedication Administration and ManagementPatient IV line and IV drug/antibiotics placementCentral Line Care, Tube feeds experienceDiabetic Care / hyperglycemia - Dose and Insulin AdministrationInterprets the admission, discharge and other policies of M&L Prodigy Healthcare, physician, family, other health care providers, and community as needed.Home Health Registered Nurse (RN) Qualifications: Must have experience for Wound CareMust have good standing license (RN) in MassachusettsMust have at least 2 years of hands on nursing experienceMust be willing to provide in home nursing care Responsibilities of the Registered Nurse (RN)BenefitsWe offer the following benefits:Competitive hourly pay in line with experienceLife Insurance$250 Sign-BonusPay increases and bonuses at 6 months and 1 year of employment.Flexible schedulingWork with clients in your area!Referral BonusDiabetic Teaching/Training offered by our in-house EndocrinologistJob Types: Part-time, Temporary, ContractSalary: $55.00 to $70.00 /hourExperience:Registered Nurse: 3 years (Preferred)home health: 1 year (Preferred)License:Registered Nurse (RN) (Preferred)BLS, ACLS (Preferred)Contract Length:7 - 11 months1 year5 - 6 monthsMore than 1 yearContract Renewal:LikelyRelocation Assistance Provided:No","c94bbf8c64d2bae7","","Home Care Registered Nurse (RN) For COVID-19 Positive Patients","https://www.indeed.com/company/M&L-Prodigy-Healthcare-Inc/jobs/Home-Care-Registered-Nurse-Covid-Positive-Patient-c94bbf8c64d2bae7?fccid=43569c913003020a&vjs=3"
