"description","id","location","positionName","url"
"Are you a skilled craftsman or motivated trainee who wants to work with your hands in a safe environment? This is a unique opportunity to quickly jump on board within 48 hours if you’ve got what it takes..1) quick learner2) great work ethic3) valuable skills4) desire to excel5) highly coachable6) Wants to be recognized and compensated for your contributionsGF SPRAGUE is a 50 year company with a stellar reputation known for our impeccable craftsmanship. We are now experiencing an incredibly high demand from customers who need their work done now. We are working every day, safely as an essential business through this extraordinary time.We will continue to service what is sure to be a tremendous Pent up demand for the foreseeable future. You’ll spend most of your time up in clean safe fresh air.Our interview processQuick Interview (within 24 hrs)* > Quick Start (within 72 hrs) with either Skill*1)Slaters- the ability to remove, cut, install, flash, for either repair or full replacement2)Coppersmiths -the ability to install one or more of the following systemsRoofs-Flatlock/standing...seam Chimneys- caps/crickets Gutters & Downspouts-header boxes - Hips/Ridge/valleys/wash areas/corniceworkFYI -Most everything is custom prefabricated for you in our “State of the Art” shopOTHER REQUIREMENTS & ATTRIBUTESAbility to climb ladders onto roofsHave reliable means of transportationCoachable & Ability to take directionWillingness to learn and adaptWork productively and efficientlyCOMPENSATION & BENEFITSSuper Competitive PayHeath, dental, life, and disability insurancePaid holidays and vacation401k with company matchProfit sharing plan on 401kPaternity leave and sick timeTropical trips –when availableOpportunity for growth-Management & SalesBonus & Commission opportunitiesNational Competition, Awards, RecognitionLong Term CareerProject managers earn pay upgrade*DAILY RESPONSIBILITIESConsistently practice GF Sprague Corvid safe proceduresReport any signs of illness before arriving at work to your managerOtherwise, Report to worksite as directed at assigned day and timeJob Type: Full-timeTypical Salary range: $16.00 to $35.00 /hourApplication QuestionsYou have requested that Indeed ask candidates the following questions: What is your proudest moment?What are your related or specific trade skills?How many years of skilled experience do you have?Are you comfortable climbing onto roofs and staging?Do you have a valid Driver's License? reliable transportation?Are you willing to undergo a background check, per local law/regulations?Job Types: Full-time, ContractSalary: $18.00 to $35.00 /hourFull Time Opportunity:YesBenefits:Health insuranceDental insuranceRetirement planSchedule:Monday to FridayBenefit Conditions:Waiting period may applyOnly full-time employees eligibleWork Remotely:No","a9a655be782ce7a9","","SHEETMETAL INSTALLER- ESSENTIAL COVID SAFE BUSINESS needs YOU NOW!","https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AwyiH-0gD-5cggNhBxZqrx__3uEcXj0NIuJLuPYkcllgMcr5UgSTY7dv4969VpdvlvIot924NM3S0uqKRhNR1iNCMnvRMnQJgXo1uXIqLs0JfSxSsFYlIPVeFQQxzaEsQU8jB52Y1k2xyc6_7mt9Erozvt36GIBhA60YZdxQGfYeeQ2Y1yLLgI7w4KLOFlVoznI_4xd31Es7bpVgyYnNiqVBbfHnN2Kl4cGu-IDQUOTDQ0VxbZOeOsE9FgdmSM3BeM21aDNJdD7KPtF1-JfMYWO998JhoyZsFOTtrvuaNDj1PSsF07wmseioUPpU5EkYDLzm6C-7d6zqF8-BHXpB0aoOL1pSwrOsP38MZZEXRF0CSK8qz93ViMmB6yc5JYu1ksyHrHcfWNqAwKHsZaZ3GqTRQARN2ruTKnEzvHvfogWmAPG619owBiRhJ0tDiCswKNfwUbje-gMDitVcTZWu2PkHgCwoVrBfEDjhiLbzRA-_o9VAPnH7ei60MpyxPpuWs=&p=0&fvj=1&vjs=3"
"Description:
The Lowell General Hospital Alternate Care Site is a 90-bed post-acute alternate care site to support patients recovering from the COVID19 virus, opening on Monday, April 20, 2020. This is a low acuity site that will serve as a disposition for patients requiring oxygen and medical oversight. There will be a range of medical services available consistent with post-acute care.
This is a negative pressure facility and staff will wear Tyvek suits. Nursing staff will work 8 hour shifts and will alternate: 2 hours in the hot site and 2 hours outside for documentation.
Location:
UMASS Lowell Recreation Center, 322 Aiken Street Lowell MA
Free on-site parking will be available for employees
Position Needed:
Nursing Assistants/Patient Care Technicians:
High School Diploma or GED required
Minimum one year of recent nursing assistant experience

Hours:
Per Diem positions are available for all shifts: days, evenings and overnights, including weekends. Candidates must be available to work a minimum of 8 hours per week.
Personal protective equipment (PPE) will be provided and a paid orientation session to provide training on proper use will be scheduled.

#LI-KW1","b5093aaf7729f54d","","Patient Care Technician, Nursing Assistant, CNA, COVID 19 Care Team","https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CxCDTKWsB8kMUt-9SPEmE2jD-hRdvgIFkmh9NWV1mStMLBOyy_0CJ-7zp4ZVFx7sB-zxJPfi-18b97i7OCLCYSPgm1N4yrQRvCvcZN2qPztvBWQSv0ZGiySLLgALzuARK0lTjgTbbS3grSRluG17TciwfqH7rOOwBYqAdi5qShBp-qYda0LRLfANe_ZUpYmkKFipUcpYLMiWRqQKf3iPx-_3_ypYCQDlEo-AWWI9EesX3tG1E7CKz9KedwlEQZWQsz273MinUJEpH88d93yXTA8ISUu2j4iClrppLzED8KvbmDCBJqLNbtVOf6zj_zTMVX9WQN3yGuE-pvuxZz6RQ8HQPJfT4D2834a-Kti5mbHpha6NhFOGqpXN601zNhM2Tv7mle2pSp8dShQA_lrcnwn9XMcpQTOOen7YtZ8R5Al0MCP3Ufoq641lNqAMNWdFxO11uUBSKKtSD8n144OGgBjrc1wvTLWE0mK45436KTQ4sONPQW2ft3ZLtAYloeVJap-ARUvEsXSA==&p=2&fvj=0&vjs=3"
"You will receive a $300 SIGN-ON BONUS when you work 300 hours with us.
Base rate for caregivers working with COVID patients will be $20 an hour and there is unlimited overtime at $30 an hour for COVID client shifts. All Personal Protective Equipment is provided (masks, gloves, face shields, gowns).
Caregiver for Cambridge with car
Always Here Home Care is putting together a COVID team of caregivers to provide non-medical home care services to seniors, with a focus on companionship, personal care, homemaking, and transportation services, to enable our clients to continue living comfortably at home through this pandemic. All caregivers working with COVID-19 clients are provided with Personal Protective Equipment (PPE).
As a caregiver, your personality and skills will bring a better quality of life to seniors and adults with disabilities. Your duties on a typical day may include the following:
Promoting client independence and wellness
Accompanying to a museum or community event
Shopping with or for a client
Cooking nutritious meals
Providing personal care (bathing, toileting, medication reminders)
Providing transportation to appointments
Calling the office team to report an emergency or important change in a client's condition
Always Here Offers:
Pay is Negotiable
Flexible schedule: full or part time, based on your availability
ALL SHIFTS available: morning, afternoon, night, overnight; 4 ,6, 8 , & 12 hours shifts
Holiday pay: time and a half
Training and on-going support
A team that is available 24/7: caregivers are never alone!
Employee referral bonus program
Benefits: health, dental, and 401(k) with 4% company matching
Open minded for new ideas and suggestions

Requirements:
Compassion & dedication to providing excellent care
Direct care experience
Cell phone with internet access
MA Driver's License with a clean driving record
A reliable car with current Insurance and MA Registration.

Great extras that are preferred but NOT required:
Strong organizational & communication skills
A CNA, HHA or CPR and/or First Aid Certification
**** All your information will be kept confidential according to EEOC guidelines ****
sE0ybGG9SN","2b9e1996387614fb","","Caregiver for COVID Clients","https://www.indeed.com/rc/clk?jk=2b9e1996387614fb&fccid=54a5a00a75588719&vjs=3"
"Type: Temporary approximately for 1 monthShift:  Weekday: 5-7:30AM, 7:30AM-1:30PM, 1:30-4:00PM, 4-10PM, 10PM-12:30, 12:30-6:30AMWeekend: 6AM-6PMEmployer:  BIOKINETIXPreferred Education:  Athletic Trainer(or other health care professionals)Job Description/Employer Information: COVID-19 ScreeningScreening Process Screeners:Screening process to include completion of the COVID-19 Access Questionnaire and a temperature screen, outlined below. Individuals that fail the screening process by either answering “yes” to questions 1-4 on the COVID-19 Access Questionnaire and/or present with a temperature of 100.4 degrees or greater will not be permitted to access the location.Screens will be conducted by licensed/certified medical professionalsAll screeners MUST BE SCREENED prior to conducting screening at locationsRequirements: Equipment/Materials and PPE for Screen Personal Protective Equipment (PPE)Nitrile/Vinyl glovesFacemask (N-95 if available) Equipment and MaterialsForehead temperature monitorBatteriesConsent & Waiver PosterCOVID-19 Access QuestionnaireDocument filing systemPensProtocol for screen failure next stepsProper PPE use and cleaning standardsJob Types: Part-time, TemporarySalary: $35.00 /hourExperience:athletic training: 1 year (Preferred)Health Care: 1 year (Required)Work Location:One locationBenefits:None","255d6e94313bfeea","","Health Screener","https://www.indeed.com/company/Biokinetix/jobs/Health-Screener-255d6e94313bfeea?fccid=f189c97ad2539335&vjs=3"
"CNAs and HHAs and Nurses Needed to Care for Seniors in Assisted Living and /or HomesHAZARD BONUS PAY in addition to your hourly rateWith Covid-19 Positive cases, our clients are requesting assistance to staff their Facilities. In many cases, the COVID-19 positive cases are quarantined and in isolated sections of the buildings. Some requests are for one on one care. Strong bonuses for those cases. Others in client's homes.WE GIVE YOU FULL PPE FOR PROTECTION.Find Out why so many of your colleagues choose Traditions Home Health Services.You can expect: Solid PPE!* Excellent compensation* Direct deposit - weekly pay* Several assignments to choose from* Flexible schedule* Access to management 24/7 live* Free uniform - polo shirts* Appreciation and respect from everyone on the teamCall today to see if we have the right assignment for you. Also, numerous non-covid assignments available too.Call MaryAnn Berlo for more details. 617-315-4442www.traditionshhs.com* Paid advanced trainingJob Types: Full-time, Part-time, Temporary, ContractExperience:caregiver: 1 year (Preferred)long-term care: 1 year (Preferred)long term care: 1 year (Preferred)cna: 1 year (Preferred)Contract Renewal:LikelyAdditional Compensation:BonusesBenefits:Health insuranceVision insurancePaid time offFlexible scheduleHours per week:10-1930-39Employment Length:2 - 4 weeks1 - 3 monthsThis Company Describes Its Culture as:Outcome-oriented -- results-focused with strong performance cultureStable -- traditional, stable, strong processesPeople-oriented -- supportive and fairness-focusedTeam-oriented -- cooperative and collaborativeSchedule:Monday to FridayDay shiftNight shiftOvertime12 hour shiftOvernight shiftBenefit Conditions:Only full-time employees eligibleWork Remotely:No","169ad73d133b48ec","","CNAs pos COVID clients PPE+ Bonuses Plymouth, Braintree Waltham","https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DuQ_Zaosb_gD5svA_OyGl9qlotDCDHZ1jF_H2rWjnXXNFRbqwLaQBTVOcJJ78KU-mT93pdAT27xV6vS1xgR-PYVfx4T8D2GRec5UUwS-SVXsLL6p-75zAqf8-Owz6uRA_USAkg3vYEYIM60j30l_otFGwn5A8ZWmIOr-sAUhFChXWZvca3T-VK99cPucFAJW-nT4dJr9XzG3tXm1LaZO1FgrIe548F7K9856FM6Fv4OvFX06BzJp62rqK4-027-00OcDUiRXlJSmkGl1E2shWkhVxUYImkYGtJ6A5dq7mEodU3f4294AS8JEq9OertZP4Jp_h0fq5W25J1EPLVeoE9bwUzqL_0smlxlcd8mIuNlfb-c1vIH8xGUtdgXUe97ZXgTv5cnHz3-a8fSgNsZoYqP5JEMX8p5zTJd7uzkM4fZfZ7hayZZQ1q9vKyIoqtVfoLcg4rYoOCsEXEmbS7q7ogHnrc7hk4KHCKH1GH0doE1PM1VFrSWB1frFRYVD59aeU=&p=3&fvj=1&vjs=3"
"Summary:
Temporary COVID-19 Relief Case Managers
Boston Health Care for the Homeless is seeking compassionate and caring Case Managers to support the COVID-19 relief efforts for homeless individuals in various locations in Boston. COVID-19 Relief Case Managers will provide case management and will work with a multi-disciplinary team to ensure a safe and dignified environment for quarantined and/or positive patients of the COVID-19 units. This role will support the COVID-19 care teams by identifying patient concerns and needs, providing case management, including support and discharge planning for homeless individuals.
Responsibilities:
Provide case management services to quarantined and COVID-19 positive homeless patients to facilitate their access to a broad range of resources.
Present a reassuring, professional and positive demeanor to individuals, their families, staff, supportive services personnel, and the general public.
Listen with empathy. These times are stressful and challenging for all.
Assess pandemic-caused unmet needs of individuals/families. Discharge planning and advising patients of discharge options.
Develop communication plans for patients. Seek creative ways to limit patient feelings of isolation.
Assist with registration and/or referrals, if requested.
Personal Protective Equipment will be provided.
Qualifications:
Case Management Experience
Experience with underserved populations
This is a temporary per diem position, requiring great flexibility. Hours will vary and can include 7am-7pm and 7pm-7am. Relief Case Managers may be asked to work at various sites in Boston.
All applicants must provide proof of immunity to measles, mumps, rubella and varicella. Ability to pass a criminal background check and provide a minimum of 1 satisfactory supervisor reference required.
Does this amazing opportunity interest you? Then we'd love to hear from you.
An Equal Opportunity Employer.
8m4a4TRzhv","821e560c9d98d96a","","COVID-19 Relief Case Managers - Various Boston Sites","https://www.indeed.com/rc/clk?jk=821e560c9d98d96a&fccid=bb9deaec3fe3eab4&vjs=3"
"Mass General Hospital is seeking TEMPORARY REGISTERED NURSES and ADVANCED PRACTICE PROVIDERS with experience for COVID-19 surge.
Mass General has activated its Hospital Incident Command System (HICS) in response to the ongoing Coronavirus (COVID-19) pandemic. Please find the latest news and information here.

We are in need of temporary registered nurses and advanced practice providers with experience for general and critical care COVID-19 inpatient units and the emergency department. All shifts available.
You must have an active Massachusetts license or be eligible for credentials through the Massachusetts emergency credentialing process. Spanish language proficiency is highly desirable, but not required.
You will be hired and onboarded through our in-house temporary service, Bulfinch Temporary Services (BFT). Temporary assignments are not benefits eligible, but you have the ability to be considered for permanent opportunities in the future if interested.

Thank you for your interest in working with us during this pandemic.
MGH Human Resources Team

With some of the nation’s leading experts in emergency planning, clinical care, research, and operations, Partners HealthCare is working to combat the coronavirus (COVID-19) pandemic. Staff across our system are working around the clock to ensure proper precautions, protocols, and resources are in place and to provide safe care to those who need it. To learn more about the Partners HealthCare response to COVID-19 please click HERE


Qualifications


You must have an active Massachusetts license or be eligible for credentials through the Massachusetts emergency credentialing process. RN, NP or PA experience required. Spanish language proficiency is highly desirable, but not required.

EEO Statement

Massachusetts General Hospital is an Equal Opportunity Employer. By embracing diverse skills, perspectives and ideas, we choose to lead. Applications from protected veterans and individuals with disabilities are strongly encouraged.

Primary Location: MA-Boston-MGH Main Campus
Work Locations: MGH Main Campus 55 Fruit Street Boston 02114
Job: Nursing
Organization: Massachusetts General Hospital(MGH)
Standard Hours: 1
Shift: Rotating
Posted Shift Description: All shifts available
Employee Status: Regular
Recruiting Department: MGH Nursing
Job Posting: Apr 13, 2020","1c27b963e4011154","","TEMPORARY RN, NP, PA Positions","https://www.indeed.com/rc/clk?jk=1c27b963e4011154&fccid=3aaabf5c54e51db9&vjs=3"
"We are in need of caregivers who would be willing to live-in temporarily with client's who may have recently been discharged from the hospital, after being positive with COVID-19. You will be in full PPE and have 24/7 support from the office. We expect that any elderly person, who is being discharged to home after this experience, is going to need some help at home. You do not have to be certified, but you do need to have some experience, be compassionate, caring and willing to be the sole caregiver for your client.

If you are interested, please fill out an application and someone will follow up with you very soon.

SOME DUTIES:

Meal Preparation
Bathroom and shower assistance
Companionship

Alzheimers/Dementia experience helpful.

Requirements:
â€¢ Ability to treat and care for seniors and their property with dignity and respect
â€¢ Ability to communicate with clients in a friendly and congenial manner
â€¢ Complete a criminal background check and drug screen","594bb0c66ca128e2","","7 Day live-in with COVID-19 Clients--$2,000/week","https://www.indeed.com/rc/clk?jk=594bb0c66ca128e2&fccid=04939308dcb5bc54&vjs=3"
"Temporary Covid19 Relief Nurses
The COVID-19 Relief Nurse provides compassionate and caring medical service to homeless individuals who are isolated, quarantined and/or COVID-19 positive patients and provides continuity of care from admission to discharge, and understanding of sterile technique, basic and complex nursing assessments, the ability to comprehend and administer medications, take vital signs and document patient information into the patient's electronic medical record.
Personal Protective Equipment will be provided.
As a Registered Nurse, you will provide direct nursing care to patients at assigned sites in Boston. You will ensure that all needs of the patients are met, in conformance with established policies and procedures, as well as DPH rules and regulations. Additional responsibilities would include, but not be limited to, completing accurate assessments and documentation, reporting to appropriate personnel as indicated (i.e., on-call provider, nurse manager, Director of Nursing, etc.); skillfully administering medications and treatments to all assigned; observing and reporting any adverse reactions; updating and maintaining accurate treatment records, flow sheets, and vaccine administration, documenting appropriately; participating in Team meetings; giving and receiving reports at the change of shift; checking narcotics and related drug supplies per policy; sign appropriate forms; taking off orders accurately, per policy; directing Aides and giving a report on patients' needs; maintaining a professional approach with confidentiality; maintaining the standards of accurate and complete recording and reporting; Ensuring that the clinical record for each patient on his/her Team is current and accurate.
This is a temporary per diem position, requiring great flexibility. Hours will vary and can include 7am-3:30pm, 3pm-11:30pm & 11pm – 7:30am. Relief Nurses may be asked to work at various sites in Boston.

Qualifications:
Education and Experience:
Commonwealth of Massachusetts RN licenseExperience with underserved population preferable
All applicants must provide proof of immunity to measles, mumps, rubella and varicella. Ability to pass a criminal background check and provide a minimum of 1 satisfactory supervisor reference required
All Clinical applicants must be able to be credentialed by our program: Proof of Relevant Education, Valid License or Certification, Current CPR (with a hands-on component) Required
Does this amazing opportunity interest you? Then we'd love to hear from you.
An Equal Opportunity Employer.
RBoDonPEI4","5995f4e93507f055","","COVID-19 Relief Nurses - Various Boston Sites","https://www.indeed.com/rc/clk?jk=5995f4e93507f055&fccid=bb9deaec3fe3eab4&vjs=3"
"Are you a highly skilled LPN or RN looking for a flexible, part-time position with competitive pay ($35 - $50 based on experience) and wonderful patients? Maybe you are a retired nurse looking to stay in your field, or a new nurse looking for a unique entry into the field of nursing. Or perhaps you a nurse that needs the flexibility to care for family demands. We have the right opportunity for you!
We offer competitive pay for per diem opportunities ranging from one-hour visits to twelve-hour shifts,
both days and nights, weekdays and/or weekends. If you are a nurse professional seeking a unique
private care experience, we would love to speak with you!

Requirements:
LPN or RN license
Professional liability insurance
Vehicle and a valid driver's license
A professional presentation
Minimum of 1-year experience (preferred)
Passion to work with the elderly and/or disabled population
Desire to provide high-quality in-home home care and nursing services

If Interested: Please provide a resume and cover letter telling us why you believe you would be a good fit to work as part of the Always Here team.
mmI9YGx92s","06e54e5c3163b32b","","Nurse for COVID Clients","https://www.indeed.com/rc/clk?jk=06e54e5c3163b32b&fccid=54a5a00a75588719&vjs=3"
