"description","id","location","positionName","url"
"Assists staff members with and contributes to the implementation of the total patient/resident plan of care which includes activities of daily living (delivering water and snacks, delivering linen and supplies, restocking supplies, assisting residents from daily activities such as bathing, taking menu orders from residents, delivering meals to residents during mealtime, responding to call lights, bed making, assisting with feeding non-choking or non-aspiration risk residents, doing personal care such as combing hair or washing face/hands, assisting residents with phone calls to family, emails and/or facetime, assist with ‘tidying up’ resident rooms, bureaus, verifying clothes in closet are for correct resident), education, recreation and transportation in accordance with the established policies, procedures and standards of the nursing department. The Hospitality Aide is directly responsible to the RN/LPN team leader. The Hospitality Aide maintains patient/resident privacy and confidentiality. Although this job description is intended to be as complete as possible, omission of specific statements of duties does not exclude them from the position if the work is similar, related or is a logical assignment to the position.This is a wonderful opportunity to join an experienced team of dedicated professionals.Job Types: Full-time, Part-time, TemporaryExperience:caregiving/direct patient care: 1 year (Preferred)License:driver's license (Preferred)Benefits:NoneSchedule:Monday to FridayWeekends requiredDay shiftNight shiftOvernight shiftWork Remotely:No","6d2a1c0b47b86e2a","","Hospitality Aid/ PCA","https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CLy-X_xV8KrRs-8XyO5x5Ke4eIAGJWxScGJR9WjibEIZuUbQIBvGo9EdbKf-BDAb8GEHM7fQWhJF5q7xCkO7whWgdqvLR61iaeN8mN7dIoxPHbCfagrOvPsycQEcncMmQV5FVm_u102TGvmS_t9ALw4ZgqWXevNmIt9vqKZtdOaHwghkY5WHNLSJJ2E0xeZW3VsHyaqzgzoCG4r56sREVw2-jn95MWnta-IwUNbemvMF0u_Kf-HCIuosKpzDkkqncaMYrfTb5N_Fkb0R1A274tIi21qy2bhk0Y133WLtZI8uGrgJs2vk9UJyjXzmxIzDxxJsv6AsDSBIkwhtVpe-awq4QWA9BGqTgCl-AHlnqmr934oXm1F1jt2V5fE-JKhaesiYtgvt4ZMYWqOlhJ-D-1kfwJJjBw2AG3NO87MvzJEiOwwmK12h6xSPfvili6xLPmhzEKnFcfXg==&p=0&fvj=1&vjs=3"
"Displaced by the current closures?Delivery is still functioning and currently in high demand.Contact-less Delivery training and personal safeguards provided.Keep some income flowing and don’t fall behind.Apply now atwww.bpijobs.comJob Types: Full-time, Part-time, TemporaryLicense:Driver's License (Required)Additional Compensation:TipsStore DiscountsWork Location:One locationMultiple locationsOn the roadBenefits:Flexible scheduleHours per week:Less than 1010-1920-2930-39This Job Is Ideal for Someone Who Is:Dependable -- more reliable than spontaneousAdaptable/flexible -- enjoys doing work that requires frequent shifts in directionDetail-oriented -- would rather focus on the details of work than the bigger pictureHigh stress tolerance -- thrives in a high-pressure environmentThis Company Describes Its Culture as:Detail-oriented -- quality and precision-focusedOutcome-oriented -- results-focused with strong performance cultureStable -- traditional, stable, strong processesPeople-oriented -- supportive and fairness-focusedTeam-oriented -- cooperative and collaborativeSchedule:Day shiftNight shift8 hour shift10 hour shift12 hour shiftCompany's website:www.bpijobs.com","fd73634f9513bb3c","","Temp Positions Open Now!","https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A6DT_rdqNjV-A3JMinkrgzA_W79Qz2dzw7tpFIJU2a3QDZtJuFWgawGNamgDG3t_u6ZGfovLmCyahrltwMpoJ3c172RR70ydnAGVpt3547z1T2V_fsVQOOBJkEMiriupRFglOr6TrwrzuGuHGUuKd7FJq5voVG8kJGt9xXM4Q0hin4fj1gimfJXdmjNfpbrXsiLPgB1RI0kE08n7ytptqpCNIhIgxKzatQK3V2w6TbLJMMRa_tLVtSnQLILegNp6AW-V6ODjbXrmJPC3dzwPGZn9unKVderU_HNUGs_ZmVoJm1vywROE9WNNuFf248Y18-xzogxevg5ViFl7yr-EpVer0ILJQV_v9RrcbanuWaB6HKQdcoyXSA-QVHQoCWYkFF76_wcpTX9Kk1NBGQnEtc7b634CQUIcp0747wOub70-Eu3KDLbMyy5EedTbTIR6FE30gzKAWH-Rqm6NMFXE4I&p=1&fvj=1&vjs=3"
"Join our TTEC work from home customer service representative team if you reside 46 out of 50 states. We cannot accept applications for residents of CA, HI, IL or NY or outside of the United States.We're hiring and are looking to connect with you to help us deliver exceptional customer service experiences as a Work from Home Customer Service Representative.Accepting digital applications for your protection and the protection of our employees: Apply online to connect with us.Now, more than ever, how we connect is everything. Our purpose is to deliver humanity to business – and it's more relevant than ever before in today's environment. We know we're stronger together, working towards a purpose that matters. As TTEC team members we lift each other up, deliver smiles, and support our communities. Join us in our commitment to deliver amazing experiences.About TTEC: We help global brands provide a great experience to their customers, build customer loyalty, and grow their business. We were founded on one guiding principle: customer experiences that are simple, inspired, and more human deliver lasting value for everyone. Your role brings that principle to life.TTEC at home Now is the time to do this all from your contemporary home office through our TTEC at home program. We don't miss a beat for our clients and their customers. And we don't miss a beat for you. As a TTEC at home team member, you'll enjoy the same benefits, training and customized support to be successful in your position as associates at our physical locations. We stay connected through video meetings, regular coaching sessions, collaborative forums, and yes even fun engagement activities so you can connect with colleagues from across the country both professionally and personally. And last but not least, a work at home associate job can level up into a full career through our gamified training and career development.As a TTEC Customer Experience Champion, You'll Enjoy: Career advancement opportunitiesEmployee Rewards and Employee DiscountsContinuous training and mentoring – lots of learning for aspiring mindsDiverse, inclusive, and community-minded organizationA fun and encouraging remote work groupWhy You? What You Bring: Connections are everything here at TTEC. That means we connect with our customers, our teammates and most importantly with you. And the ability to connect yourself is what you bring to the table… along with the following:High school graduate or equivalentExceptional communication skillsAbility to thrive in a dynamic environmentSix months or more of customer service experienceA quiet, private place in your home where you can work without background noise (trust us, you'll appreciate the quiet)The Equipment You'll Need: Your own computer with the following technical requirements:https://workbooth.info/applicants/workbooth-requirements/USB HeadsetUSB drive to access our systemsDual Monitors recommendedA dedicated telephone (landline) or smart phone/device is required at all times during employmentApply Today: Sound like you? Then come connect with us...It takes just a few simple steps to get started:1. Click the Apply Now button below2. Complete our short online application and Computer Requirements Check, followed by interactive assessments3. Check your email for follow up and next steps!If you're a military veteran, active duty guard or reserves, or a military spouse: We value your experience and believe you're prepared and battlefield-ready in the civilian world to take on TTEC's most innovative and challenging projects. Your hands-on experience with globalization means you're prepared to interact with our clients and employees around the world. Overcoming adversity and adapting to change has prepared you to execute in our dynamic environment. We are looking for team members where leadership is baked in from Day One. Where innovation and disruption are part of your DNA. We know that no job is as important as serving one's country, but we hope you'll find delivering amazing customer experiences to be another purpose worth serving!Career Changers welcome here: Time to change your career? Whether you've spent your career on the admin side in receptionist, assistant, or support roles or you've been in retail, restaurant or hospitality, we believe you have the skills it takes to join our distributed team of sales and service professionals.For more information about TTEC, visit ttecjobs.com or search #ExperienceTTEC throughout social media to engage in the global conversation.As a condition of employment, TTEC requires all employees hired in the United States to successfully pass a background check, and, depending on the location and client program, to successfully pass a drug screening. TTEC is an Equal Opportunity Employer.Job Types: Full-time, Part-time, TemporarySalary: $15.00 /hourEducation:High school or equivalent (Required)Benefits:Work from homeSchedule:Other","e453a533b9dc7bcd","","Customer Service Representative - Work from Home","https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C3gvuaJu4KZ2jtmbPyboWokO9-QDtlc53DsT5W5o78jxsFYd_PnIuAKdCg3T6ghMqX1ckOW1BROT0lrmaIK6CNFu_ZlzQUW5UgL0YeJahdx15gph7PZqYSLOLnogrfBwEFD4NfKG6i0uZLiM8VEQ0K0cBdCjbNvrfVqEgc2LJzBQkVQW-31qjH2tL-UWwbZvuHxRLKQhH0QlhuvpxUHLshgCCkzwuqu98cRqi65iSKXqOinHfE0koYKUFL0AUbhQsas2jzUATMbRVdGK9dIGQfuiJTOka1EKezafThOZ_i6vuI8fhxGr3IHBLwKLhv4L3o4wMB92eBe49kZh1_5qnG11PlD9tAw1-DZ5Yc4my7pA_ixPPHhY384VUsjeVXmASoGD6GBmONkTa6GV0tlHnlrjEO_fvAFR0vzo9Ibc6YVzhsusM-JOYmJnDZcu3dH1ssRBgkznuUrr25tUy4zhoXxvhKUn4zC_tKOqfUj-5-2w==&p=2&fvj=1&vjs=3"
"At this time workers across the country are impacted by this crisis, specifically those employed in retail, restaurant, hospitality and the travel industry. At Trader Joe's we are working diligently to support our communities and ensure our customers have access to food and necessary household staples during this time. To those who have found their hours limited or jobs placed on hold, we invite you to join our Crew until your employer is able to welcome you back.

Is it you?

Our Crew Members create a warm and friendly shopping experience in our stores. We answer questions, offer suggestions and ensure our customers know they are welcomed and cared for. We entertain customers and make grocery shopping an exciting adventure. Some responsibilities may include:

Working on teams to accomplish goals
Operating the cash register in a fun and efficient manner
Bagging groceries with care
Stocking shelves
Creating signage to inform and delight customers
Helping customers find their favorite products
You'll learn a lot. You aren't stuck doing one task here. Each Crew Member contributes to a WOW customer experience by participating in all aspects of the job.

If you have a passion for people and a fervor for food, we'd love to meet you. We can teach you the rest.


Trader Joe's is an equal opportunity employer and is committed to hiring a diverse Crew.","26315dae7df5a68a","","Crew - Temporary","https://www.indeed.com/rc/clk?jk=26315dae7df5a68a&fccid=4c5f927329eee10e&vjs=3"
"Models and delivers a distinctive and delightful customer experience.
Registers sales on assigned cash register, provides customers with courteous, fair, friendly, and efficient checkout service.
Customer Experience
Engages customers and patients by greeting them and offering assistance with products and services. Resolves customer issues and answers questions to ensure a positive customer experience.
Models and shares customer service best practices with all team members to deliver a distinctive and delightful customer experience, including interpersonal habits (e.g., greeting, eye contact, courtesy, etc.) and Walgreens service traits (e.g., offering help proactively, identifying needs, servicing until satisfied, etc.).
Operations
Provides customers with courteous, friendly, fast, and efficient service.
Recommends items for sale to customer and recommends trade-up and/or companion items.
Registers customer purchases on assigned cash register, collects cash and distributes change as requested; processes voids, returns, rain checks, refunds, and exchanges as needed.
Keeps counters and shelves clean and well merchandised, takes inventory, and maintains records. Checks in and prices merchandise as required or as directed by store manager or communicated by the shift leader.
Implements Company asset protection procedures to identify and minimize profit loss.
Ensures compliance with state and local laws regarding regulated products (e.g., alcoholic beverages and tobacco products).
Constructs and maintains displays, including promotional, seasonal, super structures, and sale merchandise. Completes resets and revisions as directed.
Assists with separation of food items (e.g., raw foods from pre-cooked) and product placement as specified by policies/procedures (e.g., raw and frozen meats on bottom shelves). For consumable items, assists in stock rotation, using the first in, first out method and restock outs.
Has working knowledge of store systems and store equipment.
Provides customer service in the photo area, including digital passport photo service, poster print and creative machine, suggestive sell of promotional photo products.
Assumes web pick-up responsibilities (monitors orders in Picture Care Plus, fills orders (pick items), delivers orders to customers as they arrive at store).
Assists with exterior and interior maintenance by ensuring clean, neat, orderly store condition and appearance.
Complies with all company policies and procedures; maintains respectful relationships with coworkers.
Completes special assignments and other tasks as assigned.
Training & Personal Development
Attends training and completes PPLs requested by Manager or assigned by corporate.

Basic Qualifications

Must be fluent in reading, writing, and speaking English. (Except in Puerto Rico)
Requires willingness to work flexible schedule, including evenings and weekend hours.

Preferred Qualifications

Prefer six months of experience in a retail environment.
Prefer to have prior work experience with Walgreens.","f7ffd06a4102b024","","Customer Service Associate - Temporary","https://www.indeed.com/rc/clk?jk=f7ffd06a4102b024&fccid=fefd75f5326e1589&vjs=3"
"Mass General Hospital is seeking TEMPORARY REGISTERED NURSES and ADVANCED PRACTICE PROVIDERS with experience for COVID-19 surge.
Mass General has activated its Hospital Incident Command System (HICS) in response to the ongoing Coronavirus (COVID-19) pandemic. Please find the latest news and information here.

We are in need of temporary registered nurses and advanced practice providers with experience for general and critical care COVID-19 inpatient units and the emergency department. All shifts available.
You must have an active Massachusetts license or be eligible for credentials through the Massachusetts emergency credentialing process. Spanish language proficiency is highly desirable, but not required.
You will be hired and onboarded through our in-house temporary service, Bulfinch Temporary Services (BFT). Temporary assignments are not benefits eligible, but you have the ability to be considered for permanent opportunities in the future if interested.

Thank you for your interest in working with us during this pandemic.
MGH Human Resources Team

With some of the nation’s leading experts in emergency planning, clinical care, research, and operations, Partners HealthCare is working to combat the coronavirus (COVID-19) pandemic. Staff across our system are working around the clock to ensure proper precautions, protocols, and resources are in place and to provide safe care to those who need it. To learn more about the Partners HealthCare response to COVID-19 please click HERE


Qualifications


You must have an active Massachusetts license or be eligible for credentials through the Massachusetts emergency credentialing process. RN, NP or PA experience required. Spanish language proficiency is highly desirable, but not required.

EEO Statement

Massachusetts General Hospital is an Equal Opportunity Employer. By embracing diverse skills, perspectives and ideas, we choose to lead. Applications from protected veterans and individuals with disabilities are strongly encouraged.

Primary Location: MA-Boston-MGH Main Campus
Work Locations: MGH Main Campus 55 Fruit Street Boston 02114
Job: Nursing
Organization: Massachusetts General Hospital(MGH)
Standard Hours: 1
Shift: Rotating
Posted Shift Description: All shifts available
Employee Status: Regular
Recruiting Department: MGH Nursing
Job Posting: Apr 13, 2020","1c27b963e4011154","","TEMPORARY RN, NP, PA Positions","https://www.indeed.com/rc/clk?jk=1c27b963e4011154&fccid=3aaabf5c54e51db9&vjs=3"
"At Whole Foods Market, we’re committed to providing record-setting grocery delivery services to our Prime Now customers. This is a fast-growing program and candidates who are passionate about our quality products and great customer service will be a great fit. We think you’ll agree that it’s a great time to join #TeamWFM.
As an In-Store Shopper, you’ll work on the Store Support team supporting Prime Now customer orders, preparing them for delivery and/or pickup. While our offerings will continue to evolve, you’ll shop throughout our store for everyday goods including food, household items, and so much more.

Having a flexible schedule is key to meeting our customer’s needs. We especially need Team Members who like to work on Saturday and Sunday – our busiest times of the week! Shoppers with the ability to work nights, weekends, and holidays are preferred.
Availability Requirements
Team Members receive their schedule up to 3 weeks in advance
Average shifts are 4-8 hours long
Job Requirements
Comfort using handheld technology (mobile) device to fulfill orders
Fulfills online orders efficiently, accurately and with a sense of urgency
Detail oriented, paying attention to product and order accuracy
Eagerness to learn product knowledge, customer service standards, and store operations
Ability to keep staging area organized and free of clutter
Willingness to work in other departments of the store as required, e.g., customer service, cashier, grocery, etc.
Basic Qualifications
Must be at least 18 years old
Ability to read and speak basic English
Ability to lift up to 40 pounds, stand/walk for at least 6 hours, and be able to frequently push, pull, squat, bend, and reach with or without reasonable accommodation
High School diploma or equivalent diploma
At Whole Foods Market, we provide a fair and equal employment opportunity for all Team Members and candidates regardless of race, color, religion, national origin, gender, pregnancy, sexual orientation, gender identity/expression, age, marital status, disability, or any other legally protected characteristic. Whole Foods Market hires and promotes individuals solely based on qualifications for the position to be filled and business needs.","36a2cb2c333d608b","","Seasonal In-Store Shoppers $15/hour!! - 15 Westland Ave, Boston","https://www.indeed.com/rc/clk?jk=36a2cb2c333d608b&fccid=ea10be8bb95dc939&vjs=3"
"Do you find yourself currently out of work because of current economic hardships?GOOD NEWS - WE ARE HIRING! APPLY TODAY! NO EXPERIENCE NEEDED!The Rehabilitation and Nursing Center at Everett, askilled nursing center is seeking individuals to fill NEW temporary positions in our family-like facility. These positions are open in all departments throughout the facility. No nursing home or healthcare experience needed, college students, individuals recently laid off and or individuals seeking additional income during these difficult economic times are welcomed and encouraged to apply!LOCATION: Everett, MASHIFTS: Day, Afternoon, Evening and Overnight positions Available right NOW! - Flexible Hours!No Experience in Healthcare Required! All are Welcomed to Apply!Competitive wages and make even more with experience. Apply Today to Qualify!FLEXIBLE hours and shifts available!This is a Temporary position with the potential to become Permanent!Temporary Positions Available in the following departmentsDietary Aides and ServersKitchen - Cooks and Food ServiceHousekeeping and LaundryActivitiesFront Desk ReceptionSocial WorkMaintenance and PortersNursing Team - Resident Assistants - No License NeededTemporary or Permanent Licensed Nursing Team Members also Encouraged to Apply!Home Health Aides - Encouraged to Apply!Nursing Students - Encouraged to Apply!College Students or Recent High School Graduates - Welcomed to Apply!Administrative Workers - Welcomed to Apply!Therapy or Rehab Team Members Encouraged to Apply - PTs, PTAs, OTs, OTAs, SLPsJob Type: TemporaryJob Type: TemporaryLocation:Everett, MA (Required)Application Question:How many years experience do you have working in Healthcare and or with Seniors?Benefits:Flexible scheduleOtherThis Job Is:A job for which military experienced candidates are encouraged to applyOpen to applicants under 18 years old, provided it is legally allowed for the job and locationOpen to applicants who do not have a high school diploma/GEDA good fit for applicants with gaps in their resume, or who have been out of the workforce for the past 6 months or moreA good job for someone just entering the workforce or returning to the workforce with limited experience and educationA job for which all ages, including older job seekers, are encouraged to applyOpen to applicants who do not have a college diplomaA job for which people with disabilities are encouraged to applySchedule:Monday to FridayNo weekendsWeekends requiredHolidays requiredDay shiftNight shiftOn callOvernight shiftOtherWork Remotely:Temporarily due to COVID-19","465cedd6a8f64dd8","","Temporary Worker - Nursing Home","https://www.indeed.com/company/The-Rehab-&-Nursing-Center-at-Everett/jobs/Temporary-Worker-465cedd6a8f64dd8?fccid=5852eadc39d0b19f&vjs=3"
"Type: Temporary approximately for 1 monthShift:  Weekday: 5-7:30AM, 7:30AM-1:30PM, 1:30-4:00PM, 4-10PM, 10PM-12:30, 12:30-6:30AMWeekend: 6AM-6PMEmployer:  BIOKINETIXPreferred Education:  Athletic Trainer(or other health care professionals)Job Description/Employer Information: COVID-19 ScreeningScreening Process Screeners:Screening process to include completion of the COVID-19 Access Questionnaire and a temperature screen, outlined below. Individuals that fail the screening process by either answering “yes” to questions 1-4 on the COVID-19 Access Questionnaire and/or present with a temperature of 100.4 degrees or greater will not be permitted to access the location.Screens will be conducted by licensed/certified medical professionalsAll screeners MUST BE SCREENED prior to conducting screening at locationsRequirements: Equipment/Materials and PPE for Screen Personal Protective Equipment (PPE)Nitrile/Vinyl glovesFacemask (N-95 if available) Equipment and MaterialsForehead temperature monitorBatteriesConsent & Waiver PosterCOVID-19 Access QuestionnaireDocument filing systemPensProtocol for screen failure next stepsProper PPE use and cleaning standardsJob Types: Part-time, TemporarySalary: $35.00 /hourExperience:athletic training: 1 year (Preferred)Health Care: 1 year (Required)Work Location:One locationBenefits:None","255d6e94313bfeea","","Health Screener","https://www.indeed.com/company/Biokinetix/jobs/Health-Screener-255d6e94313bfeea?fccid=f189c97ad2539335&vjs=3"
"internal 4.21-28
POSITION SUMMARY:

Responsible for the safe, timely and accurate transport of patients, medical equipment and patient-related items to their destinations enabling physicians, nurses, technicians, and therapists to perform their duties in an effective manner. Ensures positive patient and customer satisfaction, proper utilization of body mechanics, adherence to policies, procedures and standards established by Hospital, Department and Regulatory Agencies.
Acts as a positive role model and team player demonstrating company and hospital mission and values.

KEY RESPONSIBILITIES:

Transporting Patients, Medical Equipment and Patient Related Items
Responds to transport requests with a sense of urgency, meeting time delivery goals.
Ensures patient safety by following established procedures and using only approved rolling equipment.
Ensures proper transport of patients with specific needs, for example: those requiring oxygen tanks, cardiac cath patients, young children or elderly patients, IV’s, drainage tubes, etc.
Follows department protocols using dispatch system appropriately.
Transport patients between departments and to and from patient care areas via wheelchair, stretcher, bed and other transport equipment, or ambulation as requested.
Maintains patient’s chart during transport and ensures confidentiality of patient information at all times.
Care of Transport Equipment and Supplies
Collects and returns wheelchairs and stretchers and various equipment to their proper locations.
Disinfects and cleans transport equipment before and after each patient use and as required.
Maintains equipment and reports equipment needing repairs.
Patient Relations
Follows hospital department protocols for checking in patients and verifying their identity and following specific precautions identified.
Ensures comfort of the patient in all cases.
Alerts caregivers immediately to any signs of patient distress or equipment malfunction.
Assists hospital staff when needed in moving patients.
Works closely with hospital staff and openly communicates and problem solves to ensure client and patient needs are met.
Considers needs of family members and visitors of patients when necessary.
Program Quality Standards
Meets all performance related standards including response, active and completion times.
Ensures timely response to all patient and patient-related transportation requests and logs into TeamThroughput™ dispatching system immediately in accordance with established guidelines.
Adheres to all policies, procedures and standards established by all regulatory agencies including but not limited to Federal, State, JCAHO, OSHA, and CDC.
Maintains a patient/customer focus fostering a teamwork environment.
Safety
Follows hospital specific protocols, for example: isolation and radiation precautions.
Adheres to standard universal and disease-specific precautions and the OSHA blood borne pathogen standard.
Uses safe lifting procedures and practices when transferring patients to and from wheelchairs, stretchers, beds, etc.
Other Duties and Responsibilities:
Strives for professional and personal growth.
Actively participates in orientation and training activities.
Adheres to all Human Resource policies and procedures including those listed in the Employee Handbook and established by the Hospital and Department.
Works as charge when necessary.
Demonstrates respect and regard for the dignity of all patients, families, visitors, and fellow employees to ensure a professional, responsible, and courteous environment.
1. Commits to recognize and respect cultural diversity for all customers (internal and external).
 2. Communicates effectively with internal and external customers with respect of differences in cultures, values, beliefs and ages, utilizing interpreters when needed.
Performs other duties as assigned

REQUIRED KNOWLEDGE & SKILLS:
(Examples: Ability to work independently and take initiative; Good judgment and problem solving skills; Communication skills; Interpersonal and organizational skills; Level of confidentiality)

Effective verbal and listening communication skills.
Service/Quality focused to meet a wide range of needs.
Able to navigate to/from various locations throughout the facility.
Problem solver that can think quickly in cases of emergencies or unusual situations
Able to multi-task and work at a fast pace
Displays neat, professional appearance with a smile
Physical ability to withstand frequent to prolonged walking, standing, pushing, pulling, and transferring patients.

EDUCATION/EXPERIENCE/LICENSURE/TECHNICAL/OTHER:

Education: High School Diploma, GED preferred or equivalent
Experience (Type & Length): Experience Preferred
Certification/Licensure:
Software/Hardware:
Other:


Location: North · 0401.71100 CARN Patient Transport
Schedule: Per Diem, Split Shift Day/Evening, as needed","e9be7b36e2b8b234","","Patient Courier - Temporary","https://www.indeed.com/rc/clk?jk=e9be7b36e2b8b234&fccid=0583e4d049538c8f&vjs=3"
